鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
西區,房地(土地+建物),臺中市西區向上南路一段101~150號,136.0,住,,,10210,土地1建物1車位0,全,002,透天厝,見其他登記事項,鋼筋混凝土加強磚造,0870122,163.53,0,0,0,無,無,19500000,119244,,0.0,0
南區,房地(土地+建物),臺中市南區南門路59巷51~100號,149.0,住,,,10211,土地1建物1車位0,全,002,透天厝,見其他登記事項,加強磚造,0740817,190.46,5,2,3,有,無,18800000,98708,,0.0,0
南區,土地,頂橋子頭段351~400地號,498.0,住,,,10209,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27780000,55783,,0.0,0
南區,房地(土地+建物)+車位,臺中市南區樹德里文心南路501~550號,22.51,住,,,10004,土地1建物1車位1,二層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020818,204.18,4,2,2,有,有,8100000,42220,坡道平面,30.09,750000
南區,房地(土地+建物)+車位,臺中市南區樹德里文心南路501~550號,23.68,住,,,10004,土地1建物1車位1,二層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020818,214.87,4,2,2,有,有,8100000,39777,坡道平面,30.09,750000
南區,房地(土地+建物)+車位,臺中市南區樹德里文心南路501~550號,27.33,住,,,10005,土地1建物1車位2,三層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020818,248.16,4,2,2,有,有,9680000,39007,坡道平面,60.18,0
南區,房地(土地+建物)+車位,臺中市南區樹德里文心南路501~550號,20.85,住,,,10009,土地1建物1車位1,四層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020818,189.07,3,2,2,有,有,7660000,42836,坡道平面,30.09,850000
南區,房地(土地+建物)+車位,臺中市南區文心南路501~550號,16.91,住,,,10005,土地1建物1車位1,六層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020818,153.48000000000002,2,2,2,有,有,6150000,42953,坡道平面,30.09,850000
西區,房地(土地+建物)+車位,臺中市西區大業路1~50號,9.59,住,,,10211,土地1建物1車位1,十層,014,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850829,85.95,1,1,1,有,有,4420000,51425,坡道機械,0.0,0
西區,房地(土地+建物),臺中市西區民生路451~500號,23.8,住,,,10211,土地1建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700129,83.92,3,2,2,有,無,3500000,41706,,0.0,0
