鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中西區,土地,成光段51~100地號,435.16,住,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32909115,75625,,0.0,0
安平區,房地(土地+建物)+車位,臺南市安平區永華六街154巷1~50號,17.6,住,,,10210,土地1建物1車位1,四層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0821215,132.99,3,2,2,有,有,4100000,30829,坡道平面,0.0,0
中西區,房地(土地+建物),臺南市中西區湖美一街92巷1~50號,136.72,住,,,10210,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土構造,0750327,204.13,4,1,3,有,無,11300000,55357,,0.0,0
中西區,房地(土地+建物),臺南市中西區府前路二段258巷1~50號,5.95,住,,,10211,土地4建物1車位0,二層,006,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0790615,19.55,1,0,1,有,無,530000,27110,,0.0,0
北區,房地(土地+建物)+車位,臺南市北區北門路二段527巷1~50號,32.06,住,,,10211,土地1建物1車位1,九層,010,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土構造,0930329,146.5,3,2,2,有,有,4100000,27986,坡道平面,0.0,0
北區,房地(土地+建物),臺南市北區成功路551~600號,3.53,住,,,10211,土地1建物1車位0,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0840307,39.37,1,0,1,有,無,1070000,27178,,0.0,0
北區,房地(土地+建物),臺南市北區北園街128巷22弄1~50號,66.0,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土構造,0721219,137.19,6,2,3,有,無,3650000,26605,,0.0,0
中西區,房地(土地+建物),臺南市中西區友愛街51~100號,418.46,商,,,10211,土地3建物1車位0,全,004,透天厝,見其他登記事項,見其他登記事項,1020424,525.16,6,2,6,有,無,48800000,92924,,0.0,0
安平區,房地(土地+建物)+車位,臺南市安平區怡平里永華六街154巷1~50號,31.68,住,,,10211,土地1建物1車位1,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0821215,223.51999999999998,4,2,3,有,有,6400000,28633,坡道平面,0.0,0
北區,房地(土地+建物),臺南市北區公園南路351~400號,7.98,住,,,10211,土地1建物1車位0,九層,014,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,71.93,2,1,1,有,有,3500000,48658,,0.0,0
安南區,土地,長溪段551~600地號,3251.45,農,,,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28500000,8765,,0.0,0
安南區,房地(土地+建物),臺南市安南區府安路五段105巷37弄1~50號,116.34,住,,,10210,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土構造,1020701,153.57999999999998,5,2,3,有,無,6930000,45123,,0.0,0
安南區,房地(土地+建物),臺南市安南區同安路145巷3弄1~50號,77.84,住,,,10211,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土構造,0870903,189.01,5,2,3,有,無,6300000,33332,,0.0,0
安南區,房地(土地+建物),臺南市安南區安吉路一段201~250號,108.22,住,,,10210,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土構造,1010307,244.23,5,2,5,有,無,15500000,63465,,0.0,0
安南區,房地(土地+建物),臺南市安南區海東七街101~150號,136.36,住,,,10211,土地1建物1車位0,全,005,透天厝,見其他登記事項,鋼筋混凝土構造,1010905,344.79,5,2,5,有,無,18000000,52206,,0.0,0
安南區,房地(土地+建物),臺南市安南區國安街210巷201~250號,107.96,住,,,10211,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0700413,98.36,3,2,2,有,無,3500000,35584,,0.0,0
安南區,土地,東和段501~550地號,216.62,農,,,10211,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1461962,6749,,0.0,0
安南區,土地,總安段101~150地號,341.5,其他,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1577730,4620,,0.0,0
安南區,房地(土地+建物),臺南市安南區仁安路201~250號,91.58,住,,,10211,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土構造,0870504,190.53,3,1,3,有,無,4500000,23618,,0.0,0
安南區,土地,淵西段201~250地號,257.43,住,,,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4250331,16511,,0.0,0
安南區,土地,淵西段201~250地號,196.47,住,,,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3107361,15816,,0.0,0
安南區,土地,怡中段101~150地號,765.77,農,,,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8930820,11663,,0.0,0
南區,房地(土地+建物),臺南市南區喜北里喜樹路96巷1~50號,76.0,其他,,,10210,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土構造,0711210,88.49,6,2,2,有,無,3080000,34806,,0.0,0
東區,房地(土地+建物),臺南市東區中華東路一段1~50號,3.64,商,,,10210,土地1建物1車位0,十一層,014,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0930712,38.11,1,0,1,有,有,2250000,59040,,0.0,0
東區,土地,富強段951~1000地號,53.12,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2970000,55911,,0.0,0
南區,房地(土地+建物),臺南市南區永興三街59巷1~50號,68.0,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0671110,83.88,4,2,2,有,無,2700000,32189,,0.0,0
東區,房地(土地+建物),臺南市東區長東街101~150號,57.0,商,,,10211,土地2建物1車位0,一層，二層，騎樓,002,店面(店鋪),住商用,加強磚造,0590115,105.73,3,2,1,有,無,3000000,28374,,0.0,0
東區,房地(土地+建物)+車位,臺南市東區仁東街1~50號,13.69,住,,,10210,土地1建物1車位1,九層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0871218,92.79,2,2,1,有,有,2412000,25994,坡道機械,9.83,0
東區,房地(土地+建物)+車位,臺南市東區崇文里崇德十八街1~50號,16.59,住,,,10211,土地1建物1車位1,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0840126,109.49000000000001,3,2,2,有,有,2700000,24660,升降機械,0.0,0
東區,房地(土地+建物),臺南市東區德東街251~300號,113.39,住,,,10211,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土構造,1020624,326.7,4,2,4,有,無,19300000,59076,,0.0,0
東區,房地(土地+建物),臺南市東區明東街1~50號,132.51,住,,,10211,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土構造,1020624,351.02,4,2,4,有,無,22000000,62674,,0.0,0
南區,房地(土地+建物),臺南市南區新建路41巷1~50號,33.7,住,,,10211,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土構造,0711204,93.25,3,2,2,有,無,1300000,13941,,0.0,0
南區,房地(土地+建物),臺南市南區建南里興隆路251~300號,82.99,住,,,10211,土地3建物1車位0,全,004,透天厝,住商用,鋼筋混凝土構造,1020520,230.2,5,2,4,有,無,9750000,42354,,0.0,0
南區,土地,鹽埕段201~250地號,40.0,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,45000,,0.0,0
東區,房地(土地+建物),臺南市東區東寧路501~550號,4.09,其他,,,10211,土地1建物1車位0,五層,007,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0780425,34.08,1,0,1,有,無,938000,27523,,0.0,0
東區,房地(土地+建物),臺南市東區崇德十九街1~50號,13.74,商,,,10211,土地1建物1車位0,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0820719,102.46,3,2,2,有,有,2800000,27328,,0.0,0
東區,房地(土地+建物),臺南市東區崇德十九街51~100號,78.0,住,,,10211,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土構造,0910129,171.25,5,2,3,有,無,11350000,66277,,0.0,0
東區,房地(土地+建物),臺南市東區東興路151~200號,16.38,住,,,10211,土地3建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0740427,85.78,2,1,1,有,無,2300000,26813,,0.0,0
鹽水區,房地(土地+建物),臺南市鹽水區四維路200巷1~50號,89.53,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0830818,148.72,4,2,3,有,無,2800000,18827,,0.0,0
新營區,土地,南新段1~50地號,246.47,住,,,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5609375,22759,,0.0,0
柳營區,房地(土地+建物),臺南市柳營區中埕里6鄰中山西路二段146巷1~50號,76.19,住,,,10211,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0721111,121.77,4,2,3,有,無,2120000,17410,,0.0,0
新營區,房地(土地+建物),臺南市新營區新東里20鄰東明街2巷1~50號,89.97,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020826,206.64,5,2,4,有,無,7500000,36295,,0.0,0
新營區,土地,新民段751~800地號,159.3,住,,,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,15066,,0.0,0
新營區,土地,新卯舍段1001~1050地號,9087.93,,工業區,丁種建築用地,10211,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000000,3301,,0.0,0
新營區,房地(土地+建物),臺南市新營區王公里大德街18巷1~50號,59.79,商,,,10211,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0791127,143.43,5,1,3,有,無,1970000,13735,,0.0,0
