鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1501~1550號,11.05,住,,,10210,土地1建物1車位1,四層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860215,122.53999999999999,3,2,2,有,有,6300000,51412,坡道機械,6.95,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路301~350號,11.81,商,,,10211,土地1建物1車位1,二層,015,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950825,115.66,3,1,2,有,有,6050000,52308,坡道機械,5.05,0
鼓山區,土地,龍北段1~50地號,643.01,住,,,10207,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,291765000,453749,,0.0,0
鼓山區,土地,龍北段1~50地號,418.47,住,,,10208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,189880500,453749,,0.0,0
鼓山區,土地,龍北段1~50地號,320.94,住,,,10208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,145620000,453730,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區河邊街51~100號,78.0,住,,,10211,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0550630,90.58,3,2,2,有,無,7500000,82800,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區美術南三路251~300號,16.6,住,,,10211,土地1建物1車位0,八層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921022,125.25999999999999,3,2,2,有,有,6900000,55085,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區鼓波街51~100號,13.39,商,,,10211,土地1建物1車位0,一層，二層，騎樓,011,店面(店鋪),住商用,鋼筋混凝土造,0800831,144.27,3,2,2,有,有,9500000,65849,,0.0,0
鼓山區,土地,內惟段一小段1051~1100地號,11.33,住,,,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,343000,30274,,0.0,0
前金區,房地(土地+建物),高雄市前金區大同二路101~150號,6.48,商,,,10211,土地1建物1車位0,五層,010,套房(1房1廳1衛),,鋼筋混凝土造,0660422,35.32,1,1,1,有,有,860000,24349,,0.0,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路151~200號,12.62,商,,,10210,土地1建物1車位1,十九層,024,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970826,149.99,3,2,2,有,有,7000000,46670,坡道機械,6.64,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南五街51~100號,15.55,住,,,10211,土地1建物1車位1,三層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020124,144.3,3,2,2,有,有,9800000,67914,坡道機械,15.86,0
苓雅區,房地(土地+建物),高雄市苓雅區澄清路74巷1~50號,49.5,住,,,10211,土地2建物1車位0,二層,004,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691201,93.57,3,2,2,有,無,2200000,23512,,0.0,0
新興區,土地,新興段三小段851~900地號,61.0,其他,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1851628,30355,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區復興二路1~50號,3.22,商,,,10211,土地1建物1車位0,十四層,016,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850920,33.01,1,1,1,有,有,1250000,37867,,0.0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路1~50號,29.24,住,,,10211,土地2建物1車位1,十一層,024,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981109,270.43,4,2,2,有,有,23500000,86899,坡道平面,0.0,0
新興區,房地(土地+建物)+車位,高雄市新興區五福二路101~150號,17.34,商,,,10211,土地1建物1車位2,七層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010409,294.73,3,2,2,有,無,20500000,69555,坡道平面,30.39,0
苓雅區,房地(土地+建物),高雄市苓雅區正言路25巷1~50號,12.08,住,,,10210,土地1建物1車位0,八層,012,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0780515,130.0,3,2,2,有,無,4300000,33077,,0.0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路62巷1~50號,9.44,商,,,10211,土地1建物1車位1,三十層，三十一層,035,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,234.74,6,1,3,有,有,9000000,38340,坡道平面,14.65,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,10002,土地2建物1車位3,十二層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,45000000,85632,坡道平面,57.42,5550000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,10003,土地2建物1車位2,二十層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,39200000,96705,坡道平面,38.28,4130000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,9903,土地2建物1車位3,十九層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,48270000,91623,坡道平面,57.42,6060000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,10001,土地2建物1車位2,十六層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,35780000,89011,坡道平面,38.28,3500000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,9905,土地2建物1車位2,二十二層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,39520000,96898,坡道平面,38.28,4380000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.73,商,,,9904,土地2建物1車位2,三層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,500.98,0,0,0,無,有,36280000,70564,坡道平面,38.28,3630000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.81,商,,,9904,土地2建物1車位2,三層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,415.18,0,0,0,無,有,30220000,70894,坡道平面,38.28,3500000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.81,商,,,9904,土地2建物1車位2,三層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,415.18,0,0,0,無,有,30350000,70894,坡道平面,38.28,3630000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.78,商,,,9904,土地2建物1車位3,三層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,520.13,0,0,0,無,有,38150000,70564,坡道平面,57.42,5500000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,9905,土地2建物1車位3,二十一層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,49440000,94163,坡道平面,57.42,6060000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.63,商,,,9905,土地2建物1車位2,二十四層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,498.96,0,0,0,無,有,48620000,95771,坡道平面,38.28,4500000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.63,商,,,10109,土地2建物1車位2,六層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,498.96,0,0,0,無,有,43000000,85461,坡道平面,38.28,3630000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,45.93,商,,,9912,土地2建物1車位2,二十六層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,833.8499999999999,0,0,0,無,有,126000000,152241,坡道平面,38.28,4880000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,45.98,商,,,9903,土地2建物1車位3,二十七層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,852.99,0,0,0,無,有,120970000,145165,坡道平面,57.42,5480000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.63,商,,,9904,土地2建物1車位2,二十層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,498.96,0,0,0,無,有,42790000,84202,坡道平面,38.28,4000000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,9904,土地2建物1車位3,二十七層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,49620000,95010,坡道平面,57.42,5850000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,9906,土地2建物1車位3,三十層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,61400000,119169,坡道平面,57.42,6500000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,10001,土地2建物1車位3,三十一層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,58000000,112114,坡道平面,57.42,6350000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.68,商,,,10009,土地2建物1車位3,三十二層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,518.11,0,0,0,無,有,58030000,112809,坡道平面,57.42,6060000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,10104,土地2建物1車位2,十一層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,34920000,86640,坡道平面,38.28,3500000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,10009,土地2建物1車位2,二十九層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,45380000,113057,坡道平面,38.28,4380000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,26.63,商,,,10205,土地2建物1車位2,三十三層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,498.96,0,0,0,無,有,80220000,166254,坡道平面,38.28,3630000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,9904,土地2建物1車位2,二十一層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,39700000,99131,坡道平面,38.28,3750000
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路351~400號,21.0,商,,,10103,土地2建物1車位2,三十一層,041,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020916,400.93,0,0,0,無,有,47750000,119950,坡道平面,38.28,4250000
新興區,房地(土地+建物),高雄市新興區民主路1~50號,68.56,商,,,10211,土地4建物1車位0,全,005,透天厝,住商用,鋼筋混凝土造,0841222,201.99,10,1,11,有,無,11500000,56934,,0.0,0
