鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,28.95,住,,,10211,土地1建物1車位2,五層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,278.5,4,2,2,有,有,39610000,157532,坡道平面,53.72,4200000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,28.95,住,,,10211,土地1建物1車位2,六層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,278.5,4,2,2,有,有,39000000,156598,坡道平面,53.72,3800000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,27.67,住,,,10211,土地1建物1車位1,十三層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,251.64,4,2,2,有,有,39080000,164516,坡道平面,26.86,2100000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,29.27,住,,,10211,土地1建物1車位2,十四層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,281.05,4,2,2,有,有,45560000,180179,坡道平面,53.72,4600000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,29.27,住,,,10211,土地1建物1車位2,十七層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,281.05,4,2,2,有,有,42000000,165398,坡道平面,53.72,4400000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,29.27,住,,,10211,土地1建物1車位2,二十一層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,281.05,4,2,2,有,有,47190000,191308,坡道平面,53.72,3700000
新店區,房地(土地+建物),新北市新店區寶橋路85巷51~100號,25.75,住,,,10211,土地1建物1車位0,五層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,219.51000000000002,4,2,2,有,有,37700000,171746,,0.0,0
新店區,房地(土地+建物),新北市新店區寶橋路85巷51~100號,25.75,住,,,10211,土地1建物1車位0,六層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,219.51000000000002,4,2,2,有,有,37880000,172566,,0.0,0
新店區,房地(土地+建物),新北市新店區寶橋路85巷51~100號,25.75,住,,,10211,土地1建物1車位0,十層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,219.51000000000002,4,2,2,有,有,38400000,174935,,0.0,0
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,27.03,住,,,10211,土地1建物1車位1,十三層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,246.37,4,2,2,有,有,42180000,182588,坡道平面,26.86,2100000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,28.63,住,,,10211,土地1建物1車位2,十七層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,275.53999999999996,4,2,2,有,有,45600000,186638,坡道平面,53.72,4200000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,28.63,住,,,10211,土地1建物1車位2,十八層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,275.53999999999996,4,2,2,有,有,46100000,187089,坡道平面,53.72,4600000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,27.35,住,,,10211,土地1建物1車位1,二十一層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,248.67,4,2,2,有,有,44740000,192237,坡道平面,26.86,2100000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,27.35,住,,,10211,土地1建物1車位1,二十二層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,248.67,4,2,2,有,有,44870000,192823,坡道平面,26.86,2100000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,27.35,住,,,10211,土地1建物1車位1,二十六層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,248.67,4,2,2,有,有,45300000,193860,坡道平面,26.86,2300000
新店區,房地(土地+建物)+車位,新北市新店區寶橋路85巷51~100號,34.72,住,,,10211,土地1建物1車位2,二十一層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,327.47,4,2,3,有,有,55830000,190429,坡道平面,53.72,3700000
新店區,房地(土地+建物),新北市新店區寶橋路85巷51~100號,32.15,住,,,10211,土地1建物1車位0,二十六層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021018,273.75,4,2,3,有,有,50820000,185644,,0.0,0
