鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~50號,0.0,商,,,10211,土地1建物1車位0,二十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,37.92,1,0,1,有,有,有,10000,264,,0.0,0
汐止區,房地(土地+建物),新北市汐止區水源路一段101~150號,0.0,住,,,10212,土地1建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860610,27.98,1,0,1,有,有,有,8500,304,,0.0,0
汐止區,房地(土地+建物),新北市汐止區大同路二段201~250號,0.0,其他,,,10208,土地2建物1車位0,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850710,75.31,1,2,1,有,有,無,11000,146,,0.0,0
汐止區,房地(土地+建物),新北市汐止區南興路51~100號,0.0,其他,,,10209,土地3建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011126,98.57,2,2,1,有,有,無,15500,157,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區立信三街1~50號,10.75,住,,,10211,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941021,99.34,2,1,1,有,有,有,21000,211,坡道平面,0.0,0
土城區,房地(土地+建物)+車位,新北市土城區忠承路101~150號,53.42,工,,,10211,土地1建物1車位1,十二層,12,廠辦,見其他登記事項,鋼筋混凝土造,0990611,324.31,0,0,0,無,有,無,66000,226,坡道平面,59.1,0
三重區,建物,新北市三重區中正北路351~400號,3459.43,住,,,10212,土地0建物1車位0,八層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950802,21.13,1,1,1,有,有,有,11000,521,,0.0,0
中和區,建物,新北市中和區中正路901~950號,0.0,工,,,10211,土地0建物1車位0,五層,10,廠辦,見其他登記事項,鋼筋混凝土造,0890629,314.07,0,0,0,無,有,無,53000,169,坡道平面,0.0,0
中和區,車位,新北市中和區中山路二段201~250號,0.0,其他,,,10211,土地0建物0車位1,,19,其他,見其他登記事項,鋼筋混凝土造,0871120,47.74,0,0,0,有,有,無,4000,,坡道平面,47.76,4000
中和區,車位,新北市中和區中山路二段201~250號,0.0,其他,,,10211,土地0建物0車位1,,19,其他,見其他登記事項,鋼筋混凝土造,0871120,47.74,0,0,0,有,有,無,4000,,坡道平面,47.76,4000
永和區,房地(土地+建物),新北市永和區雙和街17巷1~50號,27.87,住,,,10211,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800905,138.13,3,2,2,有,有,有,18000,130,,0.0,0
中和區,建物,新北市中和區保健路48巷1~50號,0.0,,,,10211,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0620324,73.84,3,2,2,有,無,有,14000,190,,0.0,0
三重區,建物,新北市三重區集成路1~50號,0.0,住,,,10211,土地0建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,0641210,110.0,0,0,0,無,無,無,56818,517,,0.0,0
淡水區,房地(土地+建物),新北市淡水區八勢路101~150號,479.47,工,,,10211,土地1建物1車位0,見其他登記事項,2,廠辦,工業用,鋼筋混凝土造,0760628,522.19,0,0,0,無,無,無,96000,184,,0.0,0
八里區,房地(土地+建物),新北市八里區中華路二段501~550號,13.82,住,,,10209,土地1建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840715,126.12,3,2,2,有,有,無,13000,103,,0.0,0
新莊區,房地(土地+建物),新北市新莊區幸福東路101~150號,386.13,工,,,10211,土地1建物1車位0,見其他登記事項,2,廠辦,工業用,加強磚造,0640802,322.92,0,0,2,有,無,無,90000,279,,0.0,0
淡水區,房地(土地+建物),新北市淡水區鄧公路1~50號,15.58,住,,,10212,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890728,120.31,2,2,1,有,有,有,15000,125,,0.0,0
樹林區,房地(土地+建物),新北市樹林區保安街一段20巷7弄1~50號,22.67,住,,,10212,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0730920,91.53,2,2,1,有,無,無,14000,153,,0.0,0
五股區,房地(土地+建物),新北市五股區五福路23巷1~50號,29.95,住,,,10211,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781123,106.22,3,2,2,有,無,有,12000,113,,0.0,0
五股區,房地(土地+建物),新北市五股區成泰路一段201~250號,52.77,住,,,10211,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780812,91.96,3,2,1,有,無,有,9000,98,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區五權一路1~50號,86.9,,工業區,丁種建築用地,10211,土地1建物1車位1,七層,8,廠辦,工業用,鋼筋混凝土造,0790207,547.61,0,0,0,無,無,無,75000,137,坡道平面,194.4,0
林口區,房地(土地+建物),新北市林口區文化三路二段201~250號,45.47,住,,,10211,土地2建物2車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,0981125,418.56,0,0,0,無,無,無,75000,179,,0.0,0
汐止區,房地(土地+建物),新北市汐止區樟樹二路1~50號,0.0,工,,,10211,土地2建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700426,23.0,1,0,1,有,無,有,8000,348,,0.0,0
汐止區,房地(土地+建物),新北市汐止區樟樹二路1~50號,0.0,工,,,10211,土地2建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700426,23.0,1,0,1,有,無,有,9500,413,,0.0,0
淡水區,房地(土地+建物),新北市淡水區新春街43巷1~50號,5.52,住,,,10211,土地1建物1車位0,三層,7,其他,住家用,鋼筋混凝土造,0790807,29.220000000000002,1,0,1,有,無,有,3500,120,,0.0,0
新店區,建物,新北市新店區安興路51~100號,29.35,工,,,10211,土地0建物1車位1,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970121,149.03,3,2,2,有,無,無,21000,141,坡道平面,0.0,0
新店區,建物,新北市新店區安民街3巷1~50號,25.51,住,,,10211,土地0建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871027,152.76,3,2,2,有,有,無,18000,118,坡道機械,0.0,0
中和區,房地(土地+建物),新北市中和區立德街26巷18弄1~50號,223.88,工,,,10210,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0780828,557.5,0,0,0,無,無,無,105000,188,,0.0,0
中和區,建物,新北市中和區新民街51~100號,0.0,,,,10211,土地0建物2車位0,二層,3,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0780121,445.48,0,0,0,無,無,無,60000,135,,0.0,0
中和區,建物,新北市中和區中正路851~900號,0.0,,,,10212,土地0建物1車位0,十一層,17,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0910617,128.27,0,0,0,無,有,無,23215,181,,0.0,0
淡水區,房地(土地+建物),新北市淡水區中山北路一段149巷1~50號,29.88,商,,,10212,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0650217,96.56,3,2,1,有,無,有,10000,104,,0.0,0
淡水區,建物,新北市淡水區民生路151~200號,0.0,住,,,10211,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,74.71000000000001,2,1,1,有,有,無,14000,187,,0.0,0
板橋區,建物,新北市板橋區金門街67巷1~50號,0.0,住,,,10211,土地0建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020206,121.06,3,1,2,有,有,無,19000,157,坡道平面,16.48,0
林口區,房地(土地+建物)+車位,新北市林口區八德路51~100號,31.7,住,,,10211,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960504,191.09,4,2,2,有,有,有,25000,0,坡道平面,28.41,0
泰山區,建物,新北市泰山區明志路三段51~100號,0.0,商,,,10211,土地0建物1車位3,二層,14,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,0920120,732.45,0,0,0,無,無,有,100000,137,坡道平面,0.0,0
新莊區,建物,新北市新莊區中正路851~900號,0.0,其他,,,10211,土地0建物2車位0,見其他登記事項,4,店面(店鋪),商業用,鋼筋混凝土造,0681120,159.0,0,2,1,有,無,無,35000,220,,0.0,0
汐止區,房地(土地+建物),新北市汐止區福德二路19巷10弄1~50號,11.91,住,,,10211,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840316,95.05,2,2,2,有,有,無,13500,142,,0.0,0
汐止區,房地(土地+建物),新北市汐止區福德二路19巷10弄1~50號,11.91,住,,,10211,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840316,95.05,2,2,2,有,有,無,13500,142,,0.0,0
汐止區,房地(土地+建物),新北市汐止區福德一路201巷1~50號,15.96,住,,,10211,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811109,78.35,2,2,1,有,有,無,10000,128,,0.0,0
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段189巷51~100號,9.84,住,,,10211,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020223,65.43,2,1,1,有,有,有,13800,211,坡道機械,13.59,0
樹林區,房地(土地+建物),新北市樹林區佳園路二段101~150號,241.0,,特定農業區,甲種建築用地,10211,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0671028,256.47,5,3,3,有,無,無,25000,97,,0.0,0
新莊區,房地(土地+建物),新北市新莊區富國路176巷1~50號,1319.96,住,,,10212,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821207,23.79,1,0,1,有,有,有,8500,357,,0.0,0
新莊區,房地(土地+建物)+車位,新北市新莊區五工五路1~50號,1433.0,,工業區,丁種建築用地,10212,土地1建物1車位2,三層,7,廠辦,見其他登記事項,鋼筋混凝土造,0791204,928.9,1,1,1,有,有,無,168000,181,坡道平面,0.0,0
汐止區,房地(土地+建物),新北市汐止區新臺五路一段51~100號,17.44,工,,,10209,土地1建物1車位0,十九層,21,廠辦,工商用,鋼造,0830330,274.38,0,0,0,無,有,有,45650,166,,0.0,0
汐止區,建物,新北市汐止區康寧街351~400號,64.09,工,,,10211,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住工用,鋼筋混凝土造,0750603,225.32,2,0,0,無,無,無,50000,222,,0.0,0
板橋區,房地(土地+建物),新北市板橋區篤行路二段51~100號,89.28,住,,,10211,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,,118.0,0,0,0,無,無,無,40000,339,,0.0,0
板橋區,房地(土地+建物),新北市板橋區仁愛路62巷1~50號,28.84,住,,,10211,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0721201,98.26,3,1,2,有,無,無,12000,122,,0.0,0
板橋區,房地(土地+建物),新北市板橋區重慶路201~250號,22.0,商,,,10211,土地1建物1車位0,二層,32,店面(店鋪),見其他登記事項,見其他登記事項,0811208,323.22,0,0,0,無,有,無,55000,170,,0.0,0
板橋區,房地(土地+建物),新北市板橋區館前東路51~100號,9.74,住,,,10211,土地1建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720521,93.82,3,2,2,有,無,無,12000,128,,0.0,0
新店區,建物,新北市新店區中正路560巷1~50號,0.0,工,,,10211,土地0建物1車位0,一層,5,廠辦,工業用,鋼筋混凝土造,0690904,824.06,0,0,0,無,有,無,210000,255,,0.0,0
