鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
五結鄉,房地(土地+建物),宜蘭縣五結鄉復興三路330巷1~50號,182.4,住,,,10210,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0790731,159.0,4,2,2,有,無,5600000,35220,,0.0,0
羅東鎮,土地,南昌段1101~1150地號,28.62,住,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760000,26555,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿縣政七街1~50號,162.38,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020606,243.68,5,2,5,有,無,16500000,67712,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路五段359巷51~100號,1200.0,農,,,10211,土地1建物1車位0,一層，二層，三層,003,農舍,農舍,鋼筋混凝土加強磚造,0811109,390.84,4,3,4,有,無,22300000,,,0.0,0
礁溪鄉,土地,玉田段401~450地號,2646.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,3023,,0.0,0
頭城鎮,土地,金盈段1~50地號,2963.7,,特定農業區,農牧用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11254215,3797,,0.0,0
員山鄉,房地(土地+建物),宜蘭縣員山鄉榮光路228巷70弄1~50號,93.1,,特定農業區,甲種建築用地,10211,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0821228,204.97,5,2,4,有,無,3500000,17076,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿女中路一段51~100號,133.27,住,,,10209,土地1建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020813,299.51,0,0,5,有,無,15000000,50082,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿校舍路29巷51~100號,121.34,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0731009,99.0,5,2,3,有,無,6176400,62388,,0.0,0
宜蘭市,土地,黎明段301~350地號,3.34,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,123600,37006,,0.0,0
宜蘭市,土地,北津段951~1000地號,3303.0,,特定農業區,甲種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104910000,31762,,0.0,0
宜蘭市,土地,梅洲段201~250地號,292.0,,特定農業區,甲種建築用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,24658,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮康樂巷1~50號,170.0,住,,,10210,土地2建物8車位0,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770819,391.45,6,1,10,有,無,7500000,19160,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿凱旋路51~100號,756.0,農,,,10211,土地1建物1車位0,一層，二層，三層,003,農舍,農舍,鋼筋混凝土造,0740627,583.63,5,3,5,有,無,16000000,,,0.0,0
礁溪鄉,土地,朝陽段451~500地號,5129.0,,一般農業區,農牧用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9153900,1785,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路231巷14弄1~50號,10.82,住,,,10211,土地1建物1車位0,二層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831212,58.64,2,1,1,有,無,3160000,53888,,0.0,0
冬山鄉,土地,義成八段351~400地號,633.04,農,,,10211,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2178814,3442,,0.0,0
礁溪鄉,土地,朝陽段801~850地號,1299.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2350000,1809,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路34巷1~50號,5.75,商,,,10211,土地2建物1車位0,六層,013,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971231,51.480000000000004,0,0,1,無,有,4500000,87413,,0.0,0
員山鄉,土地,樂山段1101~1150地號,1015.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4298420,4235,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路五段197巷53弄1~50號,254.53,住,,,10211,土地3建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0951218,188.47,4,2,3,有,無,10000000,53059,,0.0,0
員山鄉,房地(土地+建物),宜蘭縣員山鄉榮光路451~500號,394.87,,特定農業區,甲種建築用地,10210,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0720126,138.52,4,2,1,有,無,6500000,46925,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉和平路1~50號,13.07,住,,,10211,土地1建物1車位0,四層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860121,77.12,1,1,1,有,有,2400000,31120,,0.0,0
礁溪鄉,土地,常興段301~350地號,2838.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5322000,1875,,0.0,0
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉仁愛路51~100號,11.06,住,,,10211,土地1建物1車位0,三層,010,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851014,64.47,1,1,1,有,有,3980000,61734,,0.0,0
大同鄉,土地,松羅段651~700地號,7980.0,,山坡地保育區,農牧用地,10210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,25,,0.0,0
冬山鄉,土地,梅花段401~450地號,69.8,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,580000,8309,,0.0,0
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉八仙二路10巷1~50號,109.22,,特定農業區,甲種建築用地,10211,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0950824,129.96,4,2,3,有,無,4900000,37704,,0.0,0
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉珍珠二路201~250號,1461.0,,特定農業區,農牧用地,10211,土地1建物1車位0,一層,001,農舍,農舍,鋼筋混凝土造,1021021,135.2,3,2,3,有,無,5524000,,,0.0,0
五結鄉,土地,大吉二段151~200地號,1581.28,,特定農業區,農牧用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4540000,2871,,0.0,0
冬山鄉,土地,梅花段701~750地號,60.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,99825,1664,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮北成路二段1巷101~150號,27.36,,特定農業區,甲種建築用地,10211,土地2建物1車位0,一層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850117,80.5,2,2,1,有,無,2100000,26087,,0.0,0
冬山鄉,土地,香城段751~800地號,1015.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,1872,,0.0,0
三星鄉,土地,人和一段51~100地號,419.84,,特定農業區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,678899,1617,,0.0,0
三星鄉,土地,人和三段1~50地號,866.84,,特定農業區,農牧用地,10209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1270500,1466,,0.0,0
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮福德路354巷1~50號,102.8,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0701111,128.64,5,1,2,有,無,2300000,17879,,0.0,0
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭巿民族路451~500號,28.12,住,,,10211,土地1建物1車位1,六層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871001,168.42000000000002,3,2,2,有,有,5600000,33250,坡道平面,0.0,0
三星鄉,房地(土地+建物),宜蘭縣三星鄉大隱中路349巷1~50號,662.5,,特定農業區,農牧用地,10210,土地1建物2車位0,一層，二層，三層,003,農舍,農舍,鋼筋混凝土造,0970819,271.53,4,2,2,有,無,17000000,,,0.0,0
三星鄉,土地,雙賢一段101~150地號,2252.01,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3450000,1532,,0.0,0
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威南路1~50號,16.96,,特定農業區,甲種建築用地,10211,土地1建物1車位0,三層,011,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840524,62.19,3,2,1,有,無,1500000,24120,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮天祥路51~100號,19.11,住,,,10211,土地1建物1車位0,一層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820629,86.12,3,2,2,有,有,3300000,38319,,0.0,0
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉港尾路17巷1~50號,78.0,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0690508,110.75,4,2,2,有,無,2350000,21219,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐峰路二段192巷1~50號,90.0,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0691215,109.2,3,2,2,有,無,3300000,30220,,0.0,0
