鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
龜山鄉,房地(土地+建物),桃園縣龜山鄉東萬壽路313巷1~50號,36.54,,山坡地保育區,丙種建築用地,10211,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841020,88.66000000000001,3,2,1,有,無,3000000,33837,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市大有路601~650號,3.97,住,,,10211,土地1建物1車位0,十一層,017,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860901,33.7,1,1,1,有,有,1680000,49852,,0.0,0
桃園市,房地(土地+建物)+車位,桃園縣桃園市明德里9鄰中正路1301~1350號,64.36,住,,,10211,土地1建物1車位5,十層,020,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920124,696.53,0,0,0,有,有,58500000,83988,坡道平面,0.0,0
桃園市,房地(土地+建物)+車位,桃園縣桃園市敬三街190巷1~50號,18.72,住,,,10210,土地1建物2車位1,四層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,143.14999999999998,3,2,2,有,有,6470000,45197,坡道平面,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市江南二街1~50號,18.26,住,,,10211,土地1建物1車位0,八層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920414,123.03999999999999,3,2,2,有,有,6000000,48765,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市寶慶路510巷1~50號,14.3,住,,,10211,土地1建物1車位0,二層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821210,126.46,3,2,2,有,有,6300000,49818,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市大德一街51~100號,19.34,住,,,10210,土地1建物1車位0,六層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821030,99.33,3,2,2,有,有,4380000,44095,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市德華街201~250號,22.62,住,,,10211,土地5建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720516,85.13000000000001,3,2,2,有,無,2800000,32891,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市大業路一段51~100號,19.62,住,,,10211,土地1建物1車位0,八層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850412,121.87,2,1,1,有,有,5897600,48393,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市大業路一段51~100號,18.14,住,,,10211,土地1建物1車位0,八層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850412,113.15,2,1,1,有,有,5476800,48403,,0.0,0
