鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
新埔鎮,土地,太平段1~50地號,3492.08,,山坡地保育區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,974,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利二路101~150號,17.19,商,,,10210,土地1建物1車位1,十八層,021,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930517,183.13,3,2,2,有,有,10500000,57339,坡道機械,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十五街51~100號,31.58,住,,,10210,土地1建物1車位1,九層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000721,174.16,3,2,2,有,有,9800000,56270,坡道平面,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段201~250號,27.34,住,,,10211,土地1建物1車位2,十七層,024,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010328,201.5,3,2,2,有,有,11800000,70932,坡道平面,63.34,2000000
竹北市,土地,舊港段漁寮小段1~50地號,1535.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,4235,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口一街1~50號,12.18,住,,,10210,土地1建物1車位1,九層,010,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970310,82.0,3,1,1,有,有,5200000,63415,坡道平面,0.0,0
關西鎮,土地,拱子溝段251~300地號,1164.0,其他,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,8162,,0.0,0
關西鎮,房地(土地+建物),新竹縣關西鎮正義路12鄰301~350號,101.2,住,,,10211,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0691230,141.68,3,1,2,有,無,4800000,33879,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市臺元街1~50號,15.62,住,,,10211,土地1建物1車位1,一層，見其他登記事項,014,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0970627,154.88,3,1,1,有,無,14700000,94918,坡道平面,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興里復興二路201~250號,33.69,商,,,10211,土地1建物1車位2,十四層,019,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010821,325.74,4,2,2,有,有,23880000,84262,坡道平面,60.14,1500000
竹北市,房地(土地+建物),新竹縣竹北市縣政十九街115巷1~50號,71.23,住,,,10210,土地2建物1車位0,全,005,透天厝,住家用,鋼筋混凝土造,0940712,198.9,4,2,5,有,無,12000000,60332,,0.0,0
竹北市,土地,華興段651~700地號,23.84,住,,,10209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1879250,78828,,0.0,0
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬南路51~100號,46.18,住,,,10210,土地1建物1車位2,六層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970927,265.09000000000003,4,2,2,有,有,15000000,56585,坡道平面,0.0,0
竹東鎮,土地,放翁段601~650地號,2336.62,,山坡地保育區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,856,,0.0,0
竹東鎮,房地(土地+建物),新竹縣竹東鎮學府東路289巷17弄1~50號,275.89,,山坡地保育區,丙種建築用地,10210,土地5建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0910605,450.78,4,2,2,有,無,19120000,42416,,0.0,0
竹東鎮,房地(土地+建物),新竹縣竹東鎮上館里和江街156巷1~50號,15.03,住,,,10211,土地2建物1車位0,五層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850506,107.52000000000001,3,2,2,有,無,2200000,20461,,0.0,0
橫山鄉,土地,田洋段801~850地號,4777.07,,山坡地保育區,林業用地,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1084756,227,,0.0,0
