鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
古坑鄉,土地,古坑段湳子小段151~200地號,3.6,,特定專用區,甲種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000,3056,,0.0,0
林內鄉,房地(土地+建物),雲林縣林內鄉中正路151~200號,157.0,住,,,10211,土地4建物1車位0,全,003,透天厝,住商用,加強磚造,0680701,352.03,7,2,3,有,無,5400000,15340,,0.0,0
斗六市,房地(土地+建物),雲林縣斗六市西平路264巷1~50號,105.64,住,,,10211,土地3建物1車位0,全,002,透天厝,住家用,加強磚造,0641030,95.7,4,2,3,有,無,3850000,40230,,0.0,0
斗六市,房地(土地+建物),雲林縣斗六市三平里南京西路101~150號,98.95,住,,,10211,土地1建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020812,192.63,5,2,3,有,無,8300000,43088,,0.0,0
斗南鎮,房地(土地+建物),雲林縣斗南鎮福智路50巷2弄1~50號,245.0,工,,,10211,土地1建物1車位0,全,002,透天厝,見其他登記事項,鋼筋混凝土造,1010820,271.71,5,2,5,有,無,7380000,27161,,0.0,0
斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段52巷51~100號,93.0,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0700401,115.3,4,3,2,有,無,2100000,18213,,0.0,0
土庫鎮,房地(土地+建物),雲林縣土庫鎮復興路283巷51~100號,123.0,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0981211,177.14,4,1,3,有,無,5800000,32742,,0.0,0
虎尾鎮,土地,高南段351~400地號,386.93,住,,,10209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10200000,26361,,0.0,0
虎尾鎮,土地,廉使段601~650地號,1930.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17500000,9067,,0.0,0
北港鎮,土地,大北段751~800地號,2819.76,,特定農業區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,887,,0.0,0
北港鎮,土地,頂庄段501~550地號,4000.18,,特定農業區,農牧用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4738000,1184,,0.0,0
水林鄉,土地,大山段651~700地號,1035.35,,鄉村區,乙種建築用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,5795,,0.0,0
元長鄉,土地,三和段501~550地號,598.0,,鄉村區,乙種建築用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,2508,,0.0,0
斗六市,土地,光明段751~800地號,4916.09,,工業區,丁種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57701396,11737,,0.0,0
林內鄉,土地,長興段851~900地號,4518.77,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,1284,,0.0,0
斗六市,房地(土地+建物)+車位,雲林縣斗六市漢口路151~200號,8.74,住,,,10211,土地1建物1車位1,七層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840501,59.03,1,1,1,有,有,1500000,25411,升降機械,0.0,0
斗六市,房地(土地+建物),雲林縣斗六市棒球十八街1~50號,104.3,住,,,10211,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1010507,214.24,4,3,5,有,無,11000000,51344,,0.0,0
斗六市,房地(土地+建物),雲林縣斗六市棒球十八街1~50號,105.68,住,,,10210,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1010507,219.33,4,3,5,有,無,10280000,46870,,0.0,0
