鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
金沙鎮,土地,沙港劃段651~700地號,750.03,農,,,10210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,9333,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,48.65,其他,,,10211,土地2建物1車位0,一層,003,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1021025,108.68,3,2,2,有,無,5000000,46007,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,48.65,其他,,,10211,土地2建物1車位0,三層,003,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1021025,108.69,3,2,2,有,無,4800000,44162,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,19.79,其他,,,10211,土地2建物1車位0,二層,003,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021025,44.03,1,1,1,有,無,1800000,40881,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,34.43,其他,,,10211,土地2建物1車位0,二層,003,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1021025,77.85,2,1,1,有,無,3580000,45986,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,13.88,其他,,,10211,土地2建物1車位0,三層,003,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021025,30.810000000000002,1,1,1,有,無,1550000,50308,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,34.43,其他,,,10211,土地2建物1車位0,三層,003,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1021025,77.85,2,1,2,有,無,3500000,44958,,0.0,0
金寧鄉,房地(土地+建物),金門縣金寧鄉湖埔村頂埔下1~50號,13.88,其他,,,10211,土地2建物1車位0,二層,003,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021025,30.810000000000002,1,1,1,有,無,1450000,47063,,0.0,0
金湖鎮,土地,夏興段1051~1100地號,438.0,農,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3425,,0.0,0
金寧鄉,土地,安西劃段851~900地號,327.43,農,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,1527,,0.0,0
