鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
文山區,房地(土地+建物)+車位,臺北市文山區政大二街260巷1~50號,73.54,住,,,10211,土地1建物1車位1,三層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990730,150.51,3,2,2,有,有,22000000,146170,坡道機械,16.08,0
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段51~100號,22.62,商,,,10210,土地1建物1車位1,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790524,167.26999999999998,3,2,2,有,有,23700000,141696,坡道平面,0.0,0
文山區,房地(土地+建物),臺北市文山區景華街128巷1~50號,26.61,住,,,10211,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730121,112.47999999999999,3,2,2,有,無,13000000,115576,,0.0,0
文山區,房地(土地+建物),臺北市文山區指南路一段1~50號,14.82,商,,,10211,土地2建物1車位0,三層,019,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881104,112.31,3,2,2,有,有,17500000,155819,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路四段51~100號,10.37,其他,,,10211,土地2建物1車位1,十二層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941229,165.82999999999998,2,1,1,有,有,42300000,255081,坡道平面,54.78,0
中正區,房地(土地+建物)+車位,臺北市中正區重慶南路三段151~200號,17.45,住,,,10210,土地2建物1車位1,七層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010315,180.57,3,2,2,有,有,31000000,171679,坡道平面,32.17,0
文山區,房地(土地+建物),臺北市文山區景福街3巷1~50號,28.35,商,,,10210,土地5建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710518,103.75,3,2,2,有,無,7500000,72289,,0.0,0
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄1~50號,40.1,住,,,10211,土地2建物1車位0,十七層,017,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,75.68,2,1,1,有,有,8950000,118261,,0.0,0
文山區,房地(土地+建物),臺北市文山區辛亥路七段26巷1~50號,48.28,住,,,10210,土地3建物1車位0,二層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650123,114.78,3,2,2,有,無,11080000,96532,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區興隆路一段83巷1~50號,23.68,住,,,10211,土地1建物1車位1,四層，電梯樓梯間,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850628,110.47,2,2,1,有,有,13000000,117679,升降機械,0.0,0
文山區,房地(土地+建物),臺北市文山區興德路53巷13弄1~50號,16.8,住,,,10210,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,加強磚造,,44.69,3,1,1,有,無,2200000,49228,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段1~50號,18.66,商,,,10211,土地2建物1車位1,十一層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020809,210.19,0,0,0,有,無,38693850,184090,升降機械,11.26,0
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段1~50號,23.69,商,,,10211,土地2建物1車位2,十二層，見其他登記事項,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020809,274.65,0,0,0,有,無,50303100,183153,升降機械,22.52,0
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段1~50號,25.44,商,,,10211,土地2建物1車位2,十二層，見其他登記事項,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020809,293.33000000000004,0,0,0,有,無,54272600,185022,升降機械,22.52,0
大同區,房地(土地+建物),臺北市大同區重慶北路三段137巷1~50號,28.66,住,,,10211,土地1建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730925,108.33,3,2,2,有,無,4613896,42591,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區武昌街二段101~150號,5.85,商,,,10211,土地1建物1車位0,六層,009,套房(1房1廳1衛),住家用,鋼筋混凝土造,0630806,39.67,1,0,1,有,有,5250000,132342,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段1~50號,17.92,商,,,10211,土地2建物1車位1,十層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020809,202.28000000000003,0,0,0,無,無,36581450,180846,升降機械,11.26,0
大同區,房地(土地+建物),臺北市大同區南京西路351~400號,10.31,其他,,,10211,土地1建物1車位0,四層,014,辦公商業大樓,商業用,鋼筋混凝土造,0671107,107.16000000000001,3,2,2,有,有,13880000,129526,,0.0,0
大同區,土地,文昌段二小段751~800地號,43.0,住,,,10208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14080000,327442,,0.0,0
中正區,房地(土地+建物),臺北市中正區中華路一段51~100號,2.06,商,,,10211,土地1建物1車位0,一層,014,店面(店鋪),商業用,鋼筋混凝土造,0801029,26.44,0,0,0,無,有,10000000,378215,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區莒光路201~250號,21.1,商,,,10211,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0750903,115.38,2,1,2,有,有,15000000,130005,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區萬大路51~100號,17.57,商,,,10211,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0750903,95.13,2,0,1,有,有,15000000,157679,,0.0,0
大同區,土地,延平段二小段801~850地號,1.9,其他,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1117466,588140,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區愛國西路1~50號,17.27,商,,,10211,土地1建物1車位1,五層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960628,253.07,4,2,2,有,有,54880000,216857,升降機械,0.0,0
中正區,房地(土地+建物),臺北市中正區中華路一段51~100號,2.93,商,,,10211,土地1建物1車位0,地下一層,014,辦公商業大樓,商業用,鋼筋混凝土造,0801029,29.310000000000002,0,0,0,無,有,1800000,61412,,0.0,0
大同區,房地(土地+建物),臺北市大同區延平北路三段51~100號,35.6,住,,,10210,土地1建物2車位0,二層,005,店面(店鋪),住家用,加強磚造,,140.7,0,0,0,無,無,67500000,479744,,0.0,0
中山區,房地(土地+建物),臺北市中山區復興北路401~450號,25.41,住,,,10211,土地2建物1車位0,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661123,130.12,3,1,2,有,有,26300000,202121,,0.0,0
中山區,房地(土地+建物),臺北市中山區新生北路二段68巷1~50號,3.24,商,,,10210,土地1建物1車位0,五層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970813,35.02,1,1,1,有,有,6500000,185608,,0.0,0
中山區,房地(土地+建物),臺北市中山區新生北路二段51~100號,3.22,商,,,10210,土地1建物1車位0,六層,012,套房(1房1廳1衛),商業用,鋼筋混凝土造,0861115,34.41,1,1,1,有,有,5900000,171462,,0.0,0
中山區,車位,臺北市中山區大直街20巷1~50號,0.17,住,,,10211,土地0建物0車位1,地下四層,015,其他,見使用執照,鋼筋混凝土造,0850826,91.28999999999999,0,0,0,有,有,1400000,,坡道平面,0.0,1400000
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄1~50號,19.22,住,,,10211,土地3建物1車位1,九層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020625,159.35,3,2,2,有,有,24000000,150612,坡道平面,41.5,0
內湖區,房地(土地+建物),臺北市內湖區康寧路一段251~300號,14.25,住,,,10210,土地4建物1車位0,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801021,49.510000000000005,1,1,1,有,有,8390000,169461,,0.0,0
中山區,房地(土地+建物),臺北市中山區長春路51~100號,2.3,商,,,10211,土地1建物1車位0,十一層,012,套房(1房1廳1衛),商業用,鋼筋混凝土造,0690201,19.32,0,0,0,無,有,3100000,160539,,0.0,0
內湖區,土地,東湖段三小段1~50地號,65.33,商,,,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25688000,393204,,0.0,0
