¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¦V¤W«n¸ô¤@¬q101~150¸¹,136.0,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g¥[±j¿j³y,0870122,163.53,0,0,0,µL,µL,19500000,119244,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï«nªù¸ô59«Ñ51~100¸¹,149.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¥[±j¿j³y,0740817,190.46,5,2,3,¦³,µL,18800000,98708,,0.0,0
«n°Ï,¤g¦a,³»¾ô¤lÀY¬q351~400¦a¸¹,498.0,¦í,,,10209,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,27780000,55783,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¾ð¼w¨½¤å¤ß«n¸ô501~550¸¹,22.51,¦í,,,10004,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020818,204.18,4,2,2,¦³,¦³,8100000,42220,©Y¹D¥­­±,30.09,750000
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¾ð¼w¨½¤å¤ß«n¸ô501~550¸¹,23.68,¦í,,,10004,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020818,214.87,4,2,2,¦³,¦³,8100000,39777,©Y¹D¥­­±,30.09,750000
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¾ð¼w¨½¤å¤ß«n¸ô501~550¸¹,27.33,¦í,,,10005,¤g¦a1«Øª«1¨®¦ì2,¤T¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020818,248.16,4,2,2,¦³,¦³,9680000,39007,©Y¹D¥­­±,60.18,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¾ð¼w¨½¤å¤ß«n¸ô501~550¸¹,20.85,¦í,,,10009,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020818,189.07,3,2,2,¦³,¦³,7660000,42836,©Y¹D¥­­±,30.09,850000
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¤å¤ß«n¸ô501~550¸¹,16.91,¦í,,,10005,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020818,153.48000000000002,2,2,2,¦³,¦³,6150000,42953,©Y¹D¥­­±,30.09,850000
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï¤j·~¸ô1~50¸¹,9.59,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤Q¼h,014,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850829,85.95,1,1,1,¦³,¦³,4420000,51425,©Y¹D¾÷±ñ,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¥Á¥Í¸ô451~500¸¹,23.8,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0700129,83.92,3,2,2,¦³,µL,3500000,41706,,0.0,0
