鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段151~200號,12.76,住,,,10211,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861020,131.22,3,2,2,有,有,有,15834,121,坡道機械,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區市政南二路151~200號,35.33,住,,,10211,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000822,229.69,0,2,2,有,有,無,56818,247,坡道平面,0.0,0
東區,房地(土地+建物),臺中市東區十甲路401~450號,3.81,住,,,10212,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830322,30.55,1,1,1,有,有,有,5800,190,,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福九路551~600號,23.06,住,,,10211,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020625,202.74,4,2,2,有,無,無,20000,99,坡道平面,23.5,0
大甲區,房地(土地+建物),臺中市大甲區信義路251~300號,182.0,住,,,10211,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0771127,114.59,0,0,0,無,無,無,25000,218,,0.0,0
太平區,房地(土地+建物),臺中市太平區中山路二段129巷20弄1~50號,41.81,,鄉村區,乙種建築用地,10212,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0841218,145.22,4,3,3,有,有,無,14000,96,,0.0,0
大里區,建物,臺中市大里區大里路101~150號,10.3,其他,,,10211,土地0建物1車位0,一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,0930611,89.79,0,0,0,無,有,有,22000,245,,0.0,0
豐原區,房地(土地+建物),臺中市豐原區自強南街1~50號,19.66,其他,,,10212,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0660119,79.1,4,2,2,有,無,無,6000,76,,0.0,0
北屯區,建物,臺中市北屯區大連路三段1~50號,0.0,住,,,10211,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820402,102.78,0,0,0,無,無,無,25000,243,,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區瀋陽路三段1~50號,12.44,住,,,10212,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990909,159.34,3,2,2,有,有,有,25000,157,坡道平面,20.89,0
西區,房地(土地+建物)+車位,臺中市西區忠明南路101~150號,15.28,住,,,10212,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,138.3,3,1,1,有,有,有,40000,289,坡道平面,29.3,0
西區,房地(土地+建物)+車位,臺中市西區忠明南路101~150號,16.7,住,,,10211,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,123.78999999999999,2,2,2,有,有,有,35000,283,坡道平面,29.3,0
南屯區,房地(土地+建物),臺中市南屯區公益路二段601~650號,100.0,住,,,10211,土地2建物1車位0,全,2,透天厝,住家用,加強磚造,0640806,79.06,3,2,2,有,無,無,60000,759,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區寧夏路201~250號,33.96,住,,,10211,土地1建物1車位0,一層,12,店面(店鋪),住商用,鋼筋混凝土造,0791116,257.45,3,2,3,有,有,無,36000,140,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路101~150號,6.35,住,,,10211,土地1建物1車位1,十三層,22,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971127,58.48,1,1,1,有,有,有,18182,311,坡道平面,13.92,0
南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段1~50號,12.26,住,,,10211,土地1建物1車位1,見其他登記事項,20,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020326,133.01,0,0,0,無,無,無,85000,639,坡道平面,26.56,0
西屯區,房地(土地+建物)+車位,臺中市西屯區河南路三段101~150號,9.38,住,,,10211,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960313,35.57,1,1,1,有,有,有,17500,492,坡道平面,0.0,0
西屯區,房地(土地+建物),臺中市西屯區文心路二段551~600號,8.15,住,,,10211,土地1建物1車位0,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941110,121.57,3,2,2,有,有,有,20000,165,,0.0,0
西屯區,建物,臺中市西屯區國安一路101~150號,9.83,,,,10209,土地0建物1車位1,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,33.5,2,2,1,有,有,有,23000,687,坡道平面,0.0,0
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段160巷1~50號,14.72,住,,,10212,土地2建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,82.75999999999999,2,1,1,有,有,有,11000,133,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段129巷1~50號,85.0,住,,,10211,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0691218,97.24,2,2,2,有,無,有,15000,154,,0.0,0
北區,房地(土地+建物),臺中市北區漢口路四段51~100號,6.95,住,,,10211,土地1建物1車位0,四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850715,32.900000000000006,1,0,1,有,有,有,4000,122,,0.0,0
太平區,房地(土地+建物),臺中市太平區新明街69巷1~50號,80.0,住,,,10212,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0830504,210.63,4,2,3,有,無,無,15000,71,,0.0,0
烏日區,房地(土地+建物),臺中市烏日區大同路1~50號,114.0,住,,,10212,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0941101,825.98,4,3,5,有,無,有,27000,33,,0.0,0
豐原區,房地(土地+建物),臺中市豐原區南陽路301~350號,132.78,住,,,10212,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0810406,94.48,1,1,1,有,無,無,16000,169,,0.0,0
烏日區,房地(土地+建物),臺中市烏日區榮和路201~250號,118.5,住,,,10211,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960518,285.57,0,0,0,無,無,有,32000,112,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路51~100號,13.01,住,,,10211,土地1建物1車位1,十三層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0850903,110.93,0,0,0,無,有,無,24000,216,坡道平面,0.0,0
南屯區,房地(土地+建物),臺中市南屯區大墩十四街151~200號,10.77,住,,,10212,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821231,62.81,2,2,1,有,有,有,10000,159,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區福安五街1~50號,116.0,其他,,,10211,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0860114,85.44,5,2,4,有,無,無,39500,462,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區河南路二段151~200號,209.0,其他,,,10111,土地3建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1000905,79.95,0,0,0,無,無,無,58000,725,,0.0,0
