鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中正區,房地(土地+建物),基隆市中正區中正路1~50號,17.17,商,,,10210,土地1建物1車位0,六層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710325,84.5,3,2,1,有,無,3600000,42604,,0.0,0
信義區,房地(土地+建物),基隆市信義區東光里崇法街55巷1~50號,118.0,住,,,10211,土地3建物1車位0,全,002,透天厝,見其他登記事項,加強磚造,0590929,123.3,0,0,0,無,無,2600000,21087,,0.0,0
信義區,房地(土地+建物)+車位,基隆市信義區正信路301~350號,135.25,住,,,10207,土地1建物1車位2,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1011107,366.35,5,3,5,有,無,16000000,43674,坡道平面,0.0,0
信義區,房地(土地+建物),基隆市信義區深澳坑路109巷1~50號,47.11,住,,,10210,土地1建物1車位0,三層，四層，五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830901,151.41,4,2,3,有,有,3000000,19814,,0.0,0
安樂區,房地(土地+建物),基隆市安樂區樂利三街101~150號,28.61,其他,,,10210,土地2建物1車位0,一層,005,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0720210,80.82,1,2,1,有,無,5000000,61866,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區長安街251~300號,42.92,,鄉村區,乙種建築用地,10210,土地1建物1車位0,二層,003,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,63.11,2,2,1,有,無,1800000,28522,,0.0,0
安樂區,房地(土地+建物),基隆市安樂區武訓街1~50號,2978.0,工,,,10208,土地3建物3車位0,一層，二層，三層,003,廠辦,見其他登記事項,見其他登記事項,0870622,4686.31,0,0,0,無,無,150000000,32008,,0.0,0
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街151~200號,18.12,商,,,10210,土地1建物1車位2,十三層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020911,194.94,4,2,2,有,有,6900000,35396,坡道機械,0.0,0
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街151~200號,15.86,商,,,10210,土地1建物1車位1,十層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020911,160.19,3,2,2,有,有,5600000,34958,坡道平面,0.0,0
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街151~200號,11.89,商,,,10210,土地1建物1車位2,二層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020911,144.93,3,2,1,有,有,5050000,34844,坡道機械,0.0,0
七堵區,房地(土地+建物),基隆市七堵區南興路101~150號,19.96,商,,,10210,土地1建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781020,107.73,5,0,5,有,無,6300000,58480,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區大華一路61巷1~50號,22.75,住,,,10209,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650519,64.74,2,1,1,有,無,2050000,31665,,0.0,0
安樂區,房地(土地+建物),基隆市中山區中和路85巷1~50號,12.49,其他,,,10211,土地6建物1車位0,七層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,49.34,3,1,1,有,有,2000000,40535,,0.0,0
暖暖區,房地(土地+建物),基隆市暖暖區碇內街201~250號,20.74,住,,,10211,土地1建物1車位0,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,98.85000000000001,3,2,2,有,有,2000000,20233,,0.0,0
安樂區,房地(土地+建物),基隆市安樂區定國街83巷1~50號,22.0,住,,,10211,土地1建物1車位0,二層,002,公寓(5樓含以下無電梯),住家用,加強磚造,0550201,39.35,2,1,1,有,無,400000,10165,,0.0,0
安樂區,房地(土地+建物),基隆市中山區中和路151~200號,34.82,住,,,10210,土地2建物2車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870710,139.52,4,2,2,有,無,3250000,23294,,0.0,0
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷151~200號,28.18,住,,,10211,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,100.75,3,2,2,有,有,2380000,23623,,0.0,0
信義區,房地(土地+建物),基隆市信義區培德路12巷1~50號,27.3,住,,,10210,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850521,99.86,3,2,2,有,無,2500000,25035,,0.0,0
信義區,土地,中正段一小段1~50地號,213.0,商,,,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20618400,96800,,0.0,0
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷174弄1~50號,25.82,住,,,10211,土地2建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,93.85,3,2,2,有,有,3200000,34097,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區福三街51~100號,29.81,住,,,10211,土地3建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670317,82.01,2,2,1,有,無,3600000,43897,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區百二街101~150號,45.26,住,,,10211,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820723,115.16000000000001,3,2,2,有,無,9750000,84665,,0.0,0
七堵區,房地(土地+建物)+車位,基隆市七堵區綠葉街30巷1~50號,81.86,,山坡地保育區,丙種建築用地,10211,土地1建物1車位1,五層,006,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010120,208.54000000000002,4,2,2,有,有,10600000,59779,坡道平面,45.44,850000
七堵區,房地(土地+建物)+車位,基隆市七堵區綠葉街1~50號,81.39,,山坡地保育區,丙種建築用地,10211,土地1建物1車位3,三層,006,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010120,280.83000000000004,3,2,2,有,有,12500000,61151,坡道平面,120.57,2700000
安樂區,房地(土地+建物),基隆市安樂區麥金路401~450號,47.64,住,,,10211,土地3建物1車位0,二層,005,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720917,84.07,3,2,1,有,無,2400000,28548,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區明德二路1~50號,15.2,住,,,10211,土地1建物1車位0,十一層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010626,125.86999999999999,3,2,2,有,有,7650000,60777,,0.0,0
七堵區,房地(土地+建物),基隆市七堵區崇廉街20巷1~50號,103.0,住,,,10209,土地2建物2車位0,二層，三層,003,公寓(5樓含以下無電梯),見其他登記事項,加強磚造,0570603,195.0,4,4,2,有,無,6000000,30769,,0.0,0
暖暖區,房地(土地+建物),基隆市暖暖區碇內街201~250號,20.74,住,,,10211,土地1建物1車位0,六層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,96.36999999999999,3,2,1,有,有,1680000,17433,,0.0,0
信義區,房地(土地+建物),基隆市信義區深溪路36巷60弄1~50號,17.72,住,,,10210,土地1建物1車位0,一層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840525,78.68,2,2,1,有,無,2200000,27961,,0.0,0
