鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
新市區,房地(土地+建物),臺南市新巿區永華二街1~50號,11846.0,,特定專用區,甲種建築用地,10212,土地1建物1車位0,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,95.46,3,2,2,有,無,有,10000,105,,0.0,0
安平區,房地(土地+建物),臺南市安平區慶平路501~550號,10.33,商,,,10211,土地1建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0880211,114.39,1,1,1,有,有,有,9650,84,,0.0,0
中西區,房地(土地+建物),臺南市中西區民權路一段151~200號,0.0,商,,,10211,土地1建物1車位0,全,2,透天厝,住家用,磚造,,124.15,3,2,2,有,無,有,27000,217,,0.0,0
北區,建物,臺南市北區北門路二段237巷1~50號,0.0,住,,,10211,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0720726,105.93,3,1,2,有,有,有,9000,85,,0.0,0
安平區,建物,臺南市安平區育平午街1~50號,0.0,住,,,10211,土地0建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0861021,185.62,4,2,2,有,有,有,28000,151,,0.0,0
中西區,建物,臺南市中西區觀亭街51~100號,0.0,商,,,10211,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0850117,96.61,2,1,1,有,有,有,14500,150,,0.0,0
安平區,建物,臺南市安平區永華八街1~50號,0.0,商,,,10211,土地0建物0車位0,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0960719,73.25,2,2,1,有,有,有,20000,273,,0.0,0
北區,房地(土地+建物),臺南市北區大武街476巷1~50號,0.0,住,,,10211,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0700513,108.84,4,2,3,有,無,無,12000,110,,0.0,0
中西區,建物,臺南市中西區大同路一段101~150號,0.0,住,,,10211,土地0建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土構造,0660429,37.7,0,0,1,有,無,無,23000,610,,0.0,0
中西區,建物,臺南市中西區西華南街1~50號,0.0,商,,,10211,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0971006,187.81,3,2,2,有,有,有,40000,213,,0.0,0
中西區,建物,臺南市中西區府緯街1~50號,0.0,住,,,10211,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0800715,152.66,3,2,2,有,有,有,18000,118,,0.0,0
東區,建物,臺南市東區中華東路二段151~200號,0.0,商,,,10211,土地0建物1車位0,五層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,71.27000000000001,1,1,1,有,有,有,10000,140,,0.0,0
東區,房地(土地+建物),臺南市東區大同路一段101~150號,0.0,商,,,10211,土地1建物1車位0,全,4,透天厝,住商用,加強磚造,0600920,64.27,1,1,1,有,無,無,30000,467,,0.0,0
