鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
五股區,房地(土地+建物)+車位,芳洲段1~50地號,30.27,住,,,10206,土地1建物1車位2,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.34,3,2,2,有,無,16550000,97826,坡道平面,60.94,3500000
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,18.62,住,,,10210,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.24,3,2,2,有,無,11490000,93233,坡道平面,20.82,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,18.62,住,,,10210,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.24,3,2,2,有,無,11560000,93801,坡道平面,20.82,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10211,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,0,2,1,有,無,6690000,68496,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7620000,78018,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7720000,79042,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7690000,78735,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7690000,78735,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7660000,78427,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7710000,78939,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10210,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.8,2,2,1,有,無,7610000,80274,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,11.8,住,,,10211,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.67,2,2,1,有,無,7770000,79554,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,19.05,住,,,10211,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.6,0,2,2,有,無,9860000,67720,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,19.25,住,,,10210,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.42,3,2,2,有,無,13040000,78356,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,19.25,住,,,10210,土地1建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.42,3,2,2,有,無,13020000,78236,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,19.25,住,,,10210,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.42,3,2,2,有,無,13000000,78116,坡道平面,0.0,0
三峽區,房地(土地+建物)+車位,大學段一小段1~50地號,19.25,住,,,10210,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.55,3,2,2,有,無,11210000,68542,坡道平面,0.0,0
