鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
新竹市,建物,新竹市新竹巿東區公道五路二段101~150號,0.0,工,,,10210,土地0建物5車位0,十一層,14,廠辦,見其他登記事項,鋼筋混凝土造,0881130,1525.71,0,0,0,無,有,無,439319,288,,0.0,0
新竹市,建物,新竹市新竹巿東區公道五路二段101~150號,0.0,工,,,10210,土地0建物2車位0,九層,14,廠辦,見其他登記事項,鋼筋混凝土造,0881130,763.4399999999999,0,0,0,無,有,無,197847,259,,0.0,0
新竹市,建物,新竹市新竹巿東大路二段51~100號,0.0,商,,,10211,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850229,73.58,3,1,1,有,有,無,13000,177,,0.0,0
新竹市,建物,新竹市新竹巿光華南街1~50號,0.0,住,,,10211,土地0建物1車位0,,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0690429,161.09,2,1,1,有,有,無,16000,99,,0.0,0
新竹市,建物,新竹市新竹巿北大路101~150號,0.0,商,,,10211,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0670127,221.61,2,0,2,有,無,無,28000,126,,0.0,0
新竹市,建物,新竹市新竹巿虎林街123巷12弄1~50號,0.0,,鄉村區,乙種建築用地,10211,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860626,81.33,3,2,2,有,無,無,10000,123,坡道平面,0.0,0
新竹市,建物,新竹市新竹巿南大路62巷1~50號,0.0,住,,,10211,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,100.07,3,2,2,有,無,無,12000,120,,0.0,0
新竹市,建物,新竹市新竹巿中央路245巷51~100號,0.0,商,,,10211,土地0建物1車位0,六層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010221,45.2,1,1,1,有,有,有,18500,409,,0.0,0
新竹市,建物,新竹市新竹巿中央路245巷51~100號,0.0,商,,,10211,土地0建物1車位0,十層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010221,45.2,1,1,1,有,有,有,18000,398,,0.0,0
新竹市,建物,新竹市新竹巿經國路二段151~200號,0.0,商,,,10211,土地0建物1車位0,四層,10,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0970730,28.84,1,1,1,有,有,有,14300,496,,0.0,0
新竹市,建物,新竹市新竹巿經國路一段801~850號,0.0,住,,,10211,土地0建物1車位0,六層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850829,33.74,1,1,1,有,有,有,6000,178,,0.0,0
新竹市,建物,新竹市新竹巿振興路48巷15弄1~50號,0.0,住,,,10211,土地0建物1車位0,五層,5,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960416,20.57,1,1,1,有,有,有,8500,413,,0.0,0
新竹市,建物,新竹市新竹巿四維路1~50號,0.0,商,,,10211,土地0建物1車位0,十二層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800730,26.69,1,1,1,有,有,有,6500,244,,0.0,0
新竹市,建物,新竹市新竹巿世界街1~50號,25.06,住,,,10211,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980617,119.57999999999998,2,2,1,有,有,有,35000,293,,0.0,0
新竹市,建物,新竹市新竹巿江山街1~50號,0.0,商,,,10211,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,193.97,3,2,2,有,無,有,34091,176,,0.0,0
新竹市,建物,新竹市新竹巿光復路一段501~550號,0.0,住,,,10211,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880310,103.94,4,2,2,有,有,有,15000,144,坡道平面,0.0,0
新竹市,建物,新竹市新竹巿香北路151~200號,0.0,住,,,10211,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0861210,93.96,4,2,2,有,有,有,13600,145,,0.0,0
新竹市,建物,新竹市新竹巿東光路42巷1~50號,0.0,住,,,10211,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,68.16,3,2,1,有,有,無,9000,132,,0.0,0
新竹市,建物,新竹市新竹巿中華路三段1~50號,0.0,商,,,10211,土地0建物1車位0,十一層,16,辦公商業大樓,辦公室,鋼筋混凝土造,0800708,52.93,0,0,0,無,有,有,8636,163,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿田美三街5巷1~50號,16.99,住,,,10211,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0790903,39.47,4,2,2,有,無,無,13000,329,,0.0,0
