鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛一街201~250號,12.4,商,,,10211,土地1建物1車位0,五層,005,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840327,44.769999999999996,1,1,1,有,無,1450000,32388,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛六街51~100號,6.0,住,,,10211,土地1建物1車位0,五層,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830414,31.47,1,1,1,有,無,1328000,42199,,0.0,0
壽豐鄉,土地,豐東段901~950地號,2975.25,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6945760,2335,,0.0,0
新城鄉,土地,嘉平段1551~1600地號,133.0,農,,,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,997500,7500,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛四街101~150號,18.06,住,,,10211,土地1建物1車位0,四層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840919,87.93,2,2,2,有,有,2600000,29569,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛一街66巷1~50號,21.45,商,,,10210,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730919,102.47,3,2,2,有,無,2800000,27325,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南埔十街15巷1~50號,100.0,住,,,10211,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0830514,188.26,4,2,3,有,無,6200000,32933,,0.0,0
花蓮市,土地,富國段1~50地號,1922.93,商,,,10211,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,198884402,103428,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿德安六街101~150號,14.69,住,,,10210,土地1建物1車位0,九層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870403,85.78999999999999,3,1,1,有,無,2900000,33803,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉勝安二街30巷1~50號,88.0,住,,,10210,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0620220,92.89,3,1,2,有,無,2750000,29605,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕七街1~50號,12.82,商,,,10210,土地1建物1車位0,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871130,106.14,3,2,2,有,無,3150000,29678,,0.0,0
花蓮市,房地(土地+建物),花蓮縣花蓮巿國裕里富裕十七街1~50號,7.25,住,,,10211,土地1建物1車位0,一層,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840831,45.5,1,1,1,有,無,1300000,28571,,0.0,0
新城鄉,房地(土地+建物),花蓮縣新城鄉自強街70巷1~50號,211.0,住,,,10210,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020813,229.94,4,2,5,有,無,9500000,41315,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉華工六路72巷39弄1~50號,129.46,,工業區,丁種建築用地,10211,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0940606,148.79,4,2,2,有,無,6700000,45030,,0.0,0
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉安路一段160巷23弄1~50號,91.06,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0821221,105.94,3,2,2,有,無,5000000,47197,,0.0,0
秀林鄉,土地,格督尚段201~250地號,2405.76,,一般農業區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1920000,798,,0.0,0
秀林鄉,房地(土地+建物),花蓮縣秀林鄉重光1~50號,13440.0,,山坡地保育區,農牧用地,10210,土地3建物1車位0,全,002,透天厝,住家用,加強磚造,0610101,119.66,3,2,2,有,無,2500000,20893,,0.0,0
光復鄉,土地,大興段1251~1300地號,8286.05,,一般農業區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4090000,494,,0.0,0
鳳林鎮,土地,榮昌段101~150地號,2768.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2960000,1069,,0.0,0
鳳林鎮,土地,榮昌段101~150地號,2768.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2960000,1069,,0.0,0
鳳林鎮,土地,榮昌段101~150地號,2768.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2960000,1069,,0.0,0
鳳林鎮,土地,榮昌段101~150地號,2770.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2960000,1069,,0.0,0
玉里鎮,土地,玉璞段851~900地號,114.0,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,26316,,0.0,0
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路六段151~200號,97.27,住,,,10211,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0820501,213.22,4,2,4,有,無,3600000,16884,,0.0,0
玉里鎮,房地(土地+建物),花蓮縣玉里鎮建國三街51~100號,87.0,住,,,10212,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0700501,102.21,4,2,2,有,無,2000000,19568,,0.0,0
吉安鄉,土地,五十甲段351~400地號,1385.03,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5656000,4084,,0.0,0
