鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
中山區,建物,臺北市中山區松江路184巷26弄1~50號,0.0,住,,,10211,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971202,100.97999999999999,2,1,1,有,有,有,48000,475,,0.0,0
中山區,房地(土地+建物),臺北市中山區復興北路151~200號,8.56,商,,,10211,土地1建物1車位0,五層,16,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0851205,60.230000000000004,1,1,1,有,有,無,30000,498,,0.0,0
內湖區,建物,臺北市內湖區瑞光路583巷1~50號,0.0,工,,,10211,土地0建物2車位7,二層,7,廠辦,工業用,鋼筋混凝土造,0861114,461.53,4,2,0,有,有,無,170000,368,坡道平面,0.0,0
中山區,建物,臺北市中山區敬業三路151~200號,0.0,住,,,10211,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980910,195.82,2,2,2,有,有,有,50000,255,坡道平面,34.36,0
內湖區,建物,臺北市內湖區民權東路六段296巷1~50號,0.0,商,,,10211,土地0建物1車位0,地下層,8,店面(店鋪),商業用,鋼筋混凝土造,0840117,209.03,0,0,0,無,無,無,40000,191,,0.0,0
內湖區,建物,臺北市內湖區成功路二段250巷1~50號,0.0,住,,,10211,土地0建物0車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690529,19.31,1,0,1,有,無,有,8500,440,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區港華街101~150號,36.36,住,,,10212,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000610,202.8,4,2,2,有,無,無,45000,222,坡道平面,29.29,0
中山區,建物,臺北市中山區南京東路二段101~150號,0.0,商,,,10211,土地0建物1車位0,六層,14,辦公商業大樓,商業用,鋼筋混凝土造,0670810,187.48999999999998,0,0,0,無,有,無,102000,544,,0.0,0
中山區,建物,臺北市中山區樂群二路51~100號,0.0,商,,,10211,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971121,311.78999999999996,3,2,2,有,有,有,134000,430,坡道平面,61.65,0
中山區,建物,臺北市中山區松江路133巷1~50號,0.0,住,,,10211,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930829,49.18,1,1,1,有,有,有,30000,610,,0.0,0
中山區,建物,臺北市中山區林森北路301~350號,0.0,商,,,10211,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990409,44.56,1,1,1,有,有,有,17000,382,,0.0,0
中山區,建物,臺北市中山區農安街1~50號,0.0,商,,,10211,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980622,78.56,1,1,1,有,有,有,36000,458,,0.0,0
中山區,建物,臺北市中山區中山北路二段65巷1~50號,0.0,商,,,10211,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,81.22999999999999,2,1,1,有,有,有,40000,492,,0.0,0
