鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
鼓山區,房地(土地+建物),高雄市鼓山區明誠三路451~500號,2.51,住,,,10212,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950626,23.61,2,1,1,有,有,有,13000,551,,0.0,0
鼓山區,建物,高雄市鼓山區明倫路101~150號,21.17,住,,,10212,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0851120,85.37,3,2,3,有,有,無,13500,158,,0.0,0
三民區,建物,高雄市三民區覺民路551~600號,81.91,住,,,10211,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0810305,348.23,1,0,1,有,有,有,4500,13,,0.0,0
三民區,房地(土地+建物),高雄市三民區寶興路101~150號,11.58,住,,,10211,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830317,78.31,2,1,1,有,無,有,10000,128,,0.0,0
三民區,建物,高雄市三民區皓東路201~250號,64.0,住,,,10212,土地0建物1車位0,全,3,透天厝,,鋼筋混凝土造,0750522,179.16,5,0,3,有,無,無,15000,84,,0.0,0
鳥松區,土地,大?腿段1451~1500地號,132.23,工,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,113,,0.0,0
楠梓區,土地,清楠段201~250地號,1057.85,商,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,54000,51,,0.0,0
鼓山區,房地(土地+建物),高雄市鼓山區中華一路201~250號,43.99,其他,,,10211,土地1建物1車位0,一層,12,辦公商業大樓,商業用,鋼筋混凝土造,0781127,237.81,0,0,0,有,無,有,42000,177,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區中山二路51~100號,8.41,商,,,10211,土地1建物1車位0,二十層,24,辦公商業大樓,商業用,鋼筋混凝土造,0820730,270.86,0,0,0,無,有,無,28000,103,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區新衙路296巷1~50號,330.58,工,,,10211,土地1建物1車位0,一層,1,工廠,見其他登記事項,見其他登記事項,1000921,221.49,0,0,0,無,無,無,50000,,,0.0,0
前鎮區,土地,獅甲段1~50地號,803.31,其他,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,115000,143,,0.0,0
苓雅區,建物,高雄市苓雅區光華一路201~250號,0.0,,,,10212,土地0建物1車位0,十九層,25,辦公商業大樓,商業用,鋼筋混凝土造,0810629,157.75,0,0,0,無,無,無,12000,76,,0.0,0
苓雅區,房地(土地+建物),高雄市苓雅區武廟路51~100號,85.0,商,,,10212,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0971222,272.03,3,3,2,有,無,有,45000,165,,0.0,0
湖內區,土地,天福段351~400地號,925.62,工,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,63000,68,,0.0,0
仁武區,房地(土地+建物),高雄市仁武區鳳仁路251~300號,280.99,工,,,10211,土地1建物1車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0830418,153.9,0,0,0,無,無,無,30000,,,0.0,0
