鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
名間鄉,土地,田寮段151~200地號,1970.17,,特定農業區,農牧用地,10210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,609,,0.0,0
名間鄉,土地,濁水段51~100地號,83.0,,山坡地保育區,丙種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,10843,,0.0,0
南投市,房地(土地+建物),南投縣南投巿彰南路一段663巷1~50號,78.0,住,,,10210,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0681115,97.93,5,3,3,有,無,3300000,33698,,0.0,0
南投市,房地(土地+建物),南投縣南投巿彰南路三段2巷6弄1~50號,80.7,農,,,10211,土地1建物1車位0,全,002,透天厝,住商用,鋼筋混凝土加強磚造,0690701,102.48,3,2,2,有,無,1600000,15613,,0.0,0
南投市,房地(土地+建物),南投縣南投巿成功三路五街101~150號,67.95,住,,,10210,土地1建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,0821216,130.46,3,2,2,有,無,4200000,32194,,0.0,0
中寮鄉,土地,後寮段201~250地號,118.0,,山坡地保育區,丙種建築用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,228000,1932,,0.0,0
南投市,房地(土地+建物),南投縣南投巿南投市內興里32鄰中興路51~100號,181.22,住,,,10210,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0761003,298.51,5,2,3,有,無,22000000,73699,,0.0,0
埔里鎮,土地,光榮段251~300地號,166.91,商,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,44934,,0.0,0
埔里鎮,土地,內埔段851~900地號,186.03,,特定農業區,甲種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,9031,,0.0,0
國姓鄉,土地,福龜段601~650地號,297.74,,鄉村區,乙種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,6046,,0.0,0
埔里鎮,土地,紅瓦厝段1~50地號,4671.62,,特定農業區,農牧用地,10210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12718000,2722,,0.0,0
埔里鎮,土地,水尾段251~300地號,2685.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8120000,3024,,0.0,0
埔里鎮,土地,忠實段151~200地號,63.91,,鄉村區,乙種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,16429,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮大城二巷1~50號,82.56,,鄉村區,乙種建築用地,10211,土地0建物1車位0,全,001,透天厝,住家用,鋼筋混凝土加強磚造,0590120,49.21,2,1,1,有,無,1550000,31498,,0.0,0
國姓鄉,土地,石門段451~500地號,3.42,農,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,70000,20468,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮南興街201~250號,89.13,住,,,10206,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0900717,182.16,5,2,2,有,無,5000000,27448,,0.0,0
竹山鎮,土地,大坑段中心崙小段1~50地號,1005.0,,山坡地保育區,林業用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000,75,,0.0,0
竹山鎮,土地,大坑段中心崙小段1~50地號,1005.0,,山坡地保育區,林業用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000,75,,0.0,0
竹山鎮,房地(土地+建物),南投縣竹山鎮桂林里竹山路1~50號,106.38,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0960626,156.61,4,3,3,有,無,6680000,42654,,0.0,0
竹山鎮,土地,鯉魚段751~800地號,3573.32,,山坡地保育區,農牧用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4843500,1355,,0.0,0
竹山鎮,房地(土地+建物),南投縣竹山鎮大和街251~300號,115.83,住,,,10210,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0940302,219.19,4,3,3,有,無,5800000,26461,,0.0,0
集集鎮,土地,集集段雞籠山小段401~450地號,2500.0,,山坡地保育區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,520,,0.0,0
集集鎮,房地(土地+建物),南投縣集集鎮民生路1~50號,107.73,住,,,10210,土地2建物1車位0,全,002,透天厝,見其他登記事項,見其他登記事項,0960912,144.28,2,1,2,有,無,3850000,26684,,0.0,0
水里鄉,土地,北埔段251~300地號,104.36,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1736000,16635,,0.0,0
名間鄉,房地(土地+建物),南投縣名間鄉中正村董門巷101~150號,95.7,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0771109,116.8,4,2,2,有,無,3600000,30822,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮慈恩街373巷1~50號,61.31,,特定農業區,甲種建築用地,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0690721,91.26,3,2,2,有,無,2000000,21915,,0.0,0
國姓鄉,土地,水長流段51~100地號,3870.0,,山坡地保育區,農牧用地,10210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,1189,,0.0,0
仁愛鄉,土地,萬大段101~150地號,626.67,,森林區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,191,,0.0,0
埔里鎮,土地,榮光段151~200地號,421.28,,鄉村區,乙種建築用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4250000,10088,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮平四街1~50號,86.21,住,,,10210,土地2建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0790530,198.37,4,3,3,有,無,4600000,23189,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮北環路246巷1~50號,14.65,住,,,10211,土地1建物1車位0,七層,012,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830708,103.83,3,2,2,有,有,2600000,25041,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮梅村路151~200號,136.75,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0820611,142.19,4,2,2,有,無,4470000,31437,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮中正路60巷1~50號,16.08,,山坡地保育區,丙種建築用地,10211,土地1建物1車位0,五層,009,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831128,31.92,0,0,0,無,無,200000,6266,,0.0,0
南投市,土地,嘉和段101~150地號,162.0,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,33951,,0.0,0
草屯鎮,房地(土地+建物),南投縣草屯鎮仁愛街1~50號,14.2,住,,,10211,土地6建物1車位0,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831021,69.75999999999999,2,2,1,有,有,2500000,35837,,0.0,0
集集鎮,土地,南隘寮段701~750地號,159.94,,鄉村區,乙種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,337881,2113,,0.0,0
集集鎮,房地(土地+建物),南投縣集集鎮集賢街529巷1~50號,93.11,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼骨鋼筋混凝土造,0910116,146.4,3,2,2,有,無,4000000,27322,,0.0,0
埔里鎮,土地,四角城段301~350地號,738.03,,特定農業區,甲種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,12195,,0.0,0
竹山鎮,土地,山坪頂段1~50地號,8203.5,,山坡地保育區,農牧用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,146,,0.0,0
埔里鎮,土地,寶湖窟段601~650地號,1877.08,,特定農業區,農牧用地,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,6393,,0.0,0
竹山鎮,土地,大坑段中心崙小段1~50地號,2010.0,,山坡地保育區,林業用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,100,,0.0,0
竹山鎮,土地,大坑段頂林小段101~150地號,5508.5,,山坡地保育區,林業用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,36,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮中正一路1~50號,58.92,商,,,10211,土地1建物1車位0,一層，二層，三層，騎樓,003,店面(店鋪),住商用,鋼筋混凝土造,0691205,126.04,5,1,3,有,無,5450000,43240,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮枇杷路51~100號,1392.37,,特定農業區,農牧用地,10211,土地4建物1車位0,一層,001,工廠,住家用,見其他登記事項,0590111,78.26,0,0,0,無,無,9700000,,,0.0,0
埔里鎮,房地(土地+建物),南投縣埔里鎮中山路三段201~250號,12.61,住,,,10211,土地1建物1車位0,三層,012,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0831231,75.73,3,1,1,有,無,1800000,23769,,0.0,0
