鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
新竹市,房地(土地+建物),新竹市新竹巿光復路一段476巷1~50號,12.88,住,,,10210,土地4建物1車位0,十一層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840925,87.92,3,2,2,有,有,5450000,61988,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿民生路170巷1~50號,23.3,住,,,10210,土地5建物1車位0,五層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810502,71.75,2,2,2,有,有,3200000,44599,,0.0,0
新竹市,房地(土地+建物)+車位,新竹市新竹巿北大路451~500號,7.37,商,,,10211,土地1建物1車位1,十二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860217,85.14,2,2,2,有,有,2810000,33004,升降機械,0.0,0
新竹市,土地,香濱段201~250地號,1.68,住,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,59524,,0.0,0
新竹市,車位,新竹市新竹巿武陵路151~200號,2.91,住,,,10211,土地0建物0車位1,,,其他,,,,39.38,0,0,0,有,有,1100000,,坡道平面,39.37,1100000
新竹市,房地(土地+建物)+車位,新竹市新竹巿中央路355巷1~50號,21.06,商,,,10211,土地1建物1車位2,十三層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920110,332.31,4,2,4,有,有,18880000,56814,坡道平面,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿武陵路271巷22弄1~50號,29.8,住,,,10210,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.26,3,2,2,有,無,2350000,25751,,0.0,0
新竹市,土地,見樂段851~900地號,22.42,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,101713,4537,,0.0,0
新竹市,土地,見樂段851~900地號,22.42,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,101685,4535,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿南勢十二街1~50號,101.32,,鄉村區,乙種建築用地,10210,土地2建物1車位0,全,005,透天厝,見其他登記事項,鋼筋混凝土造,1020513,230.26999999999998,4,2,3,有,無,12380000,53763,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿明湖路1050巷51~100號,13.15,,鄉村區,乙種建築用地,10211,土地6建物1車位0,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830323,31.31,1,0,1,有,無,690000,22038,,0.0,0
新竹市,土地,水源段901~950地號,165.33,,特定農業區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3750000,22682,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿新莊街166巷1~50號,69.0,住,,,10211,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0631218,94.5,3,2,2,有,無,8300000,87831,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿東大路一段39巷1~50號,22.0,住,,,10211,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,加強磚造,0650105,78.74,2,2,1,有,無,3180000,40386,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿中華路一段105巷1弄1~50號,75.61,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0641029,99.9,4,1,5,有,無,10300000,103103,,0.0,0
新竹市,土地,香濱段151~200地號,5.14,住,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,171080,33284,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿中華路四段411巷1~50號,119.47,,山坡地保育區,丙種建築用地,10207,土地2建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0860425,318.1,5,3,7,有,有,7900000,24835,,0.0,0
新竹市,土地,隆恩段1401~1450地號,153.89,其他,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8379090,54449,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿田美三街22巷1~50號,20.06,住,,,10210,土地1建物1車位0,一層,007,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821111,108.77,3,2,1,有,無,6860000,63069,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿明湖路1050巷151~200號,19.06,,山坡地保育區,丙種建築用地,10211,土地3建物1車位0,二層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831114,65.28999999999999,3,2,1,有,有,2700000,41354,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿新莊街220巷1~50號,19.95,住,,,10210,土地1建物1車位0,一層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811030,103.41,4,1,4,有,有,7580000,73300,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿振興一街101~150號,23.63,住,,,10210,土地1建物1車位0,五層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830128,103.94,2,2,1,有,有,3400000,32711,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿湳雅街201~250號,92.0,住,,,10211,土地1建物1車位0,全,002,透天厝,住商用,加強磚造,0640521,195.58,3,2,2,有,無,9600000,49085,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿金山街101~150號,90.95,住,,,10210,土地1建物1車位0,全,005,透天厝,見其他登記事項,鋼筋混凝土造,0970805,236.87,21,0,21,有,無,34000000,143539,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿和平路251~300號,112.0,,鄉村區,乙種建築用地,10210,土地1建物1車位0,一層，二層，三層，騎樓,003,店面(店鋪),住家用,加強磚造,0660730,316.38,5,3,3,有,無,22000000,69537,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿金山二十三街32巷1~50號,93.67,住,,,10211,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1020325,208.04,26,0,26,有,無,31000000,149010,,0.0,0
新竹市,房地(土地+建物),新竹市新竹巿頂埔路19巷1~50號,24.5,住,,,10210,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,,110.07,3,2,2,有,無,3500000,31798,,0.0,0
新竹市,土地,古賢段501~550地號,156.83,,特定農業區,水利用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1348738,8600,,0.0,0
新竹市,土地,西濱段1~50地號,86.72,其他,,,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,376000,4336,,0.0,0
