¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¥j§|¶m,¤g¦a,¥j§|¬qÙõ¤l¤p¬q151~200¦a¸¹,3.6,,¯S©w±M¥Î°Ï,¥ÒºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11000,3056,,0.0,0
ªL¤º¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤ªL¤º¶m¤¤¥¿¸ô151~200¸¹,157.0,¦í,,,10211,¤g¦a4«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0680701,352.03,7,2,3,¦³,µL,5400000,15340,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¦è¥­¸ô264«Ñ1~50¸¹,105.64,¦í,,,10211,¤g¦a3«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0641030,95.7,4,2,3,¦³,µL,3850000,40230,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤T¥­¨½«n¨Ê¦è¸ô101~150¸¹,98.95,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020812,192.63,5,2,3,¦³,µL,8300000,43088,,0.0,0
¤æ«nÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ«nÂíºÖ´¼¸ô50«Ñ2§Ë1~50¸¹,245.0,¤u,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010820,271.71,5,2,5,¦³,µL,7380000,27161,,0.0,0
¤æ«nÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ«nÂí©µ¥­¸ô¤G¬q52«Ñ51~100¸¹,93.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0700401,115.3,4,3,2,¦³,µL,2100000,18213,,0.0,0
¤g®wÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤g®wÂí´_¿³¸ô283«Ñ51~100¸¹,123.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0981211,177.14,4,1,3,¦³,µL,5800000,32742,,0.0,0
ªê§ÀÂí,¤g¦a,°ª«n¬q351~400¦a¸¹,386.93,¦í,,,10209,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10200000,26361,,0.0,0
ªê§ÀÂí,¤g¦a,·G¨Ï¬q601~650¦a¸¹,1930.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,17500000,9067,,0.0,0
¥_´äÂí,¤g¦a,¤j¥_¬q751~800¦a¸¹,2819.76,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10210,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2500000,887,,0.0,0
¥_´äÂí,¤g¦a,³»ÉÜ¬q501~550¦a¸¹,4000.18,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4738000,1184,,0.0,0
¤ôªL¶m,¤g¦a,¤j¤s¬q651~700¦a¸¹,1035.35,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6000000,5795,,0.0,0
