鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
大里區,房地(土地+建物),新甲段401~450地號,96.96,,鄉村區,乙種建築用地,10203,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,188.55,4,3,3,有,無,12000000,63644,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,92.31,,鄉村區,乙種建築用地,10203,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.74,4,3,3,有,無,12000000,64260,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,94.54,,鄉村區,乙種建築用地,10203,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,189.94,4,3,3,有,無,12000000,63178,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,92.31,,鄉村區,乙種建築用地,10203,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.74,4,3,3,有,無,12000000,64260,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,92.31,,鄉村區,乙種建築用地,10203,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.74,4,3,3,有,無,12000000,64260,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,92.31,,鄉村區,乙種建築用地,10204,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.74,4,3,3,有,無,12000000,64260,,0.0,0
大里區,房地(土地+建物),新甲段251~300地號,103.84,,鄉村區,乙種建築用地,10204,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,207.15,4,3,3,有,無,13500000,65170,,0.0,0
大里區,房地(土地+建物),新甲段251~300地號,100.45,,鄉村區,乙種建築用地,10207,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,207.15,4,3,3,有,無,13500000,65170,,0.0,0
大里區,房地(土地+建物),新甲段251~300地號,92.78,,鄉村區,乙種建築用地,10208,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,191.91,4,3,3,有,無,12700000,66177,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,92.31,,鄉村區,乙種建築用地,10205,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.74,4,3,3,有,無,12000000,64260,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,80.6,,鄉村區,乙種建築用地,10209,土地1建物1車位0,四層,4,店面(店鋪),住商用,鋼筋混凝土造,,188.3,4,3,3,有,無,13500000,71694,,0.0,0
大里區,房地(土地+建物),新甲段401~450地號,92.31,,鄉村區,乙種建築用地,10201,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.74,4,3,3,有,無,11600000,62118,,0.0,0
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10202,土地1建物1車位2,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.95,4,2,2,有,無,8660000,47122,坡道平面,69.86,2200000
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10202,土地1建物1車位2,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.89,4,2,2,有,無,8880000,47998,坡道平面,67.8,2300000
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10201,土地1建物1車位2,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.01,4,2,2,有,無,8800000,45955,坡道平面,71.92,2500000
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10109,土地1建物1車位2,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.89,4,2,2,有,無,9050000,50697,坡道平面,67.8,2100000
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10201,土地1建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.95,4,2,2,有,無,9100000,47414,坡道平面,69.86,2600000
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10201,土地1建物1車位2,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.95,4,2,2,有,無,9450000,49967,坡道平面,69.86,2600000
西屯區,房地(土地+建物)+車位,下石碑段951~1000地號,27.03,住,,,10201,土地1建物1車位2,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.89,4,2,2,有,無,9250000,52156,坡道平面,67.8,2100000
