╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕
└tдs╢m,й╨жa(дgжa+л╪кл),оч╢щ┐д└tдs╢mкF╕U╣╪╕Ї313л╤1~50╕╣,36.54,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,10211,дgжa1л╪кл1иожь0,дн╝h,005,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0841020,88.66000000000001,3,2,1,ж│,╡L,3000000,33837,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелдjж│╕Ї601~650╕╣,3.97,жэ,,,10211,дgжa1л╪кл1иожь0,дQд@╝h,017,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0860901,33.7,1,1,1,ж│,ж│,1680000,49852,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щелй·╝wи╜9╛Fдде┐╕Ї1301~1350╕╣,64.36,жэ,,,10211,дgжa1л╪кл1иожь5,дQ╝h,020,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0920124,696.53,0,0,0,ж│,ж│,58500000,83988,йY╣Dенн▒,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щел╖qдT╡є190л╤1~50╕╣,18.72,жэ,,,10210,дgжa1л╪кл2иожь1,е|╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830908,143.14999999999998,3,2,2,ж│,ж│,6470000,45197,йY╣Dенн▒,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелж┐лnдG╡є1~50╕╣,18.26,жэ,,,10211,дgжa1л╪кл1иожь0,дK╝h,010,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0920414,123.03999999999999,3,2,2,ж│,ж│,6000000,48765,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щел─_╝y╕Ї510л╤1~50╕╣,14.3,жэ,,,10211,дgжa1л╪кл1иожь0,дG╝h,016,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821210,126.46,3,2,2,ж│,ж│,6300000,49818,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелдj╝wд@╡є51~100╕╣,19.34,жэ,,,10210,дgжa1л╪кл1иожь0,д╗╝h,010,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821030,99.33,3,2,2,ж│,ж│,4380000,44095,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щел╝w╡╪╡є201~250╕╣,22.62,жэ,,,10211,дgжa5л╪кл1иожь0,дT╝h,005,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0720516,85.13000000000001,3,2,2,ж│,╡L,2800000,32891,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелдj╖~╕Їд@мq51~100╕╣,19.62,жэ,,,10211,дgжa1л╪кл1иожь0,дK╝h,013,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850412,121.87,2,1,1,ж│,ж│,5897600,48393,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелдj╖~╕Їд@мq51~100╕╣,18.14,жэ,,,10211,дgжa1л╪кл1иожь0,дK╝h,013,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850412,113.15,2,1,1,ж│,ж│,5476800,48403,,0.0,0
