鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
嘉義市,房地(土地+建物),嘉義市嘉義巿北港路201~250號,17.42,住,,,10211,土地1建物1車位0,九層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830606,110.82,3,1,2,有,有,3200000,28876,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿興達路401~450號,16.48,住,,,10211,土地1建物1車位0,十一層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830905,114.6,3,1,2,有,無,2820000,24607,,0.0,0
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿自強街195巷1~50號,13.66,住,,,10211,土地1建物1車位1,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841009,82.3,2,1,1,有,無,1560000,18955,其他,0.0,0
嘉義市,土地,車店段351~400地號,172.0,住,,,10210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,52326,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿美源街51~100號,68.0,住,,,10211,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0700302,81.4,3,2,2,有,無,3000000,36855,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿成功街1~50號,141.0,住,,,10210,土地1建物1車位0,全,005,透天厝,見其他登記事項,見其他登記事項,1010619,393.14,7,3,8,有,無,26000000,66134,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路451~500號,333.0,住,,,10210,土地2建物1車位0,全,004,透天厝,住商用,鋼筋混凝土加強磚造,0720817,749.76,8,3,6,有,無,30000000,40013,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿仁義新村1~50號,42.64,住,,,10211,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0710503,78.26,3,1,1,有,無,3550000,45362,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿忠順一街1~50號,23.38,住,,,10211,土地1建物1車位0,一層，二層，騎樓，地下層,008,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820317,181.87,3,2,2,有,無,4400000,24193,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿福州五街1~50號,16.9,住,,,10211,土地1建物1車位0,三層,007,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810903,83.03,3,2,2,有,無,1950000,23485,,0.0,0
嘉義市,土地,堀川段1~50地號,27.0,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,18519,,0.0,0
嘉義市,土地,遠東段51~100地號,1462.0,住,,,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35380400,24200,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿友忠路951~1000號,13.5,住,,,10211,土地2建物1車位0,十一層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870226,103.83,3,2,1,有,有,2180000,20996,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路938巷1~50號,88.4,住,,,10211,土地3建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0830106,158.51,5,1,3,有,無,5270000,33247,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿民權路351~400號,5.58,住,,,10211,土地1建物1車位0,九層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860317,84.72,2,2,1,有,有,1575000,18591,,0.0,0
嘉義市,土地,湖東段151~200地號,130.0,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2162875,16638,,0.0,0
