鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
彰化市,土地,竹中段851~900地號,46.37,,鄉村區,乙種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,771546,16639,,0.0,0
花壇鄉,土地,南白沙坑段1151~1200地號,4243.48,,山坡地保育區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10660000,2512,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿臺化街16巷1~50號,65.0,住,,,10211,土地1建物1車位0,全,001,透天厝,住家用,鋼筋混凝土加強磚造,0620423,38.3,1,1,1,有,無,1650000,43081,,0.0,0
秀水鄉,土地,馬興段801~850地號,6869.0,,特定農業區,農牧用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000000,7279,,0.0,0
彰化市,土地,茄苳段851~900地號,145.22,,特定農業區,甲種建築用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3843000,26463,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿彰南路二段348巷137弄1~50號,93.24,,山坡地保育區,丙種建築用地,10210,土地6建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,0861020,200.23,4,2,2,有,有,6000000,29966,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿中華西路571巷1~50號,18.83,住,,,10211,土地1建物1車位0,六層,012,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830831,137.68,4,2,2,有,有,2930000,21281,,0.0,0
彰化市,土地,石牌段751~800地號,4122.64,,山坡地保育區,農牧用地,10210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,776,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿長壽街151~200號,45.45,商,,,10210,土地3建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760723,111.9,3,2,2,有,無,3500000,31278,,0.0,0
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰草路二段269巷1~50號,100.56,,鄉村區,乙種建築用地,10210,土地2建物1車位1,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020823,197.01,5,2,3,有,無,8180000,41521,一樓平面,0.0,0
伸港鄉,房地(土地+建物),彰化縣伸港鄉七嘉村中華路196巷1~50號,84.0,住,,,10210,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0820519,185.3,4,3,3,有,無,3300000,17809,,0.0,0
伸港鄉,土地,泉州厝段1001~1050地號,1923.0,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3230640,1680,,0.0,0
鹿港鎮,土地,永安段3351~3400地號,93.77,住,,,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3350000,35726,,0.0,0
鹿港鎮,建物,彰化縣鹿港鎮民享街50巷1~50號,0.0,,,,10211,土地0建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020327,163.2,4,2,3,有,無,2650000,16238,,0.0,0
