鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
馬公市,土地,文東段551~600地號,90.59,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,356000,3930,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿鎖管港901~950號,66.69,商,,,10211,土地1建物1車位0,全,002,透天厝,住商用,鋼筋混凝土加強磚造,0691230,104.4,3,2,2,有,無,2500000,23946,,0.0,0
馬公市,土地,五福段251~300地號,189.59,,一般農業區,甲種建築用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6920000,36500,,0.0,0
馬公市,土地,東澳段751~800地號,441.53,住,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15880000,35966,,0.0,0
馬公市,土地,興崁段1001~1050地號,759.5,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3216000,4234,,0.0,0
湖西鄉,土地,湖西北段601~650地號,659.81,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2155680,3267,,0.0,0
馬公市,土地,興崁段551~600地號,1230.08,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,569,,0.0,0
西嶼鄉,土地,小池角段3801~3850地號,499.0,,鄉村區,乙種建築用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1020000,2044,,0.0,0
馬公市,土地,五德東段651~700地號,987.71,,一般農業區,農牧用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,4860,,0.0,0
馬公市,土地,東衛段301~350地號,754.24,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,5303,,0.0,0
湖西鄉,土地,紅羅段1501~1550地號,868.9,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,3568,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿東衛151~200號,92.3,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0830430,213.96,4,2,3,有,無,4530000,21172,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿同和路1~50號,66.73,住,,,10211,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,1000104,181.99,8,1,7,有,無,11600000,63740,,0.0,0
湖西鄉,土地,沙港北段501~550地號,1262.17,,一般農業區,農牧用地,10211,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1910000,1513,,0.0,0
馬公市,土地,鎖港西段801~850地號,271.44,農,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760000,2800,,0.0,0
湖西鄉,土地,許家段1~50地號,1605.92,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4857900,3025,,0.0,0
馬公市,土地,中衛段1201~1250地號,160.01,其他,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1360085,8500,,0.0,0
馬公市,土地,中衛段1201~1250地號,75.04,其他,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,637798,8499,,0.0,0
馬公市,土地,中衛段1201~1250地號,587.27,其他,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4991795,8500,,0.0,0
西嶼鄉,土地,橫礁段501~550地號,480.33,,風景區,農牧用地,10209,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,833,,0.0,0
湖西鄉,土地,許家段151~200地號,24.28,,一般農業區,交通用地,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104986,4324,,0.0,0
馬公市,土地,山水北段151~200地號,960.73,,一般農業區,農牧用地,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4213900,4386,,0.0,0
馬公市,土地,文石段1151~1200地號,2050.86,,一般農業區,農牧用地,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,4876,,0.0,0
西嶼鄉,土地,橫礁段501~550地號,480.33,,風景區,農牧用地,10209,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,833,,0.0,0
馬公市,土地,中衛段1201~1250地號,160.01,其他,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1360085,8500,,0.0,0
馬公市,土地,興仁段701~750地號,3350.57,,一般農業區,農牧用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4250000,1268,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿樂群街27巷1~50號,64.7,住,,,10209,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0720408,87.64,3,1,2,有,無,4320000,49293,,0.0,0
馬公市,土地,鐵線段551~600地號,780.84,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3658000,4685,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿四維路201~250號,79.05,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0730621,99.66,4,2,3,有,無,4980000,49970,,0.0,0
馬公市,房地(土地+建物)+車位,澎湖縣馬公巿光復路148巷1~50號,30.03,住,,,10211,土地2建物1車位1,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830303,144.60999999999999,3,2,4,有,無,4100000,28352,坡道平面,0.0,0
馬公市,土地,興仁段1401~1450地號,2081.02,,一般農業區,農牧用地,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8183500,3932,,0.0,0
湖西鄉,土地,許家段601~650地號,1530.68,,一般農業區,農牧用地,10212,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3526000,2304,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿中山路1~50號,54.0,商,,,10212,土地2建物1車位0,全,003,透天厝,住商用,鋼筋混凝土加強磚造,0631007,130.55,5,2,3,有,無,9080000,69552,,0.0,0
馬公市,土地,中衛段1201~1250地號,75.04,其他,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,637798,8499,,0.0,0
西嶼鄉,土地,竹篙灣段3401~3450地號,11048.0,,一般農業區,農牧用地,10212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,1810,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿中華路251~300號,54.35,住,,,10211,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0921124,126.62,4,3,5,有,無,11000000,86874,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿北辰街17巷1~50號,36.25,住,,,10211,土地0建物1車位0,三層,005,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0730629,81.81,3,2,2,有,無,3500000,42782,,0.0,0
馬公市,土地,五德東段651~700地號,667.85,,一般農業區,農牧用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2995,,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿大智街18巷20弄1~50號,44.0,商,,,10212,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土加強磚造,0690213,147.2,3,2,2,有,無,1455500,9888,,0.0,0
馬公市,房地(土地+建物)+車位,澎湖縣馬公巿中華路201~250號,22.12,住,,,10211,土地2建物1車位1,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,121.69999999999999,3,2,2,有,有,3700000,30403,升降機械,0.0,0
馬公市,房地(土地+建物),澎湖縣馬公巿西衛51~100號,180.13,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0861202,369.56,11,2,7,有,無,12660000,34257,,0.0,0
馬公市,土地,鐵線段851~900地號,412.31,,一般農業區,農牧用地,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,997600,2420,,0.0,0
湖西鄉,土地,成功南段51~100地號,493.06,,一般農業區,農牧用地,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,2028,,0.0,0
馬公市,土地,安宅段1151~1200地號,229.77,,一般農業區,甲種建築用地,10212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,30465,,0.0,0
馬公市,土地,山水西段101~150地號,209.57,,一般農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375000,1789,,0.0,0
